Datetime,EC50
2021-02-26,22.93
2021-03-19,29.31
2021-05-11,25.34
2021-05-24,25.85
2021-10-12,33.94
2021-10-13,36.62
2021-11-08,27.52
2022-03-08,22.14
2022-03-16,19.4
2022-03-29,19.0
2022-04-05,28.1
2022-10-12,14.7
2022-10-19,20.5
2022-10-26,23.1
2023-03-03,16.8
2023-03-12,17.8
2023-05-08,30.82
2023-12-18,11.71
2024-02-06,10.38
2024-02-13,18.81
2024-02-15,27.48
2024-02-20,22.19
2024-04-09,21.02
2024-10-11,24.54
2024-11-29,28.05
2025-01-31,25.53
2025-02-03,48.75
2025-03-04,36.94
2025-03-07,24.27
2025-03-14,27.5
2025-04-04,32.41
2025-04-11,31.35
2025-05-12,24.48
2025-10-13,14.37
2025-11-10,20.75
2025-12-02,12.26
2025-12-12,23.53
2026-03-09,19.55
2026-03-11,26.8
2026-04-07,31.03
2026-05-12,24.27
2026-05-18,23.31
