Datetime,EC50,EC50_ci_upper,EC50_ci_lower,EC50_n
2018-09-01,27.22,30.6,23.845,2
2018-10-01,27.729999999999997,30.97,24.439999999999998,2
2018-11-01,27.265,30.32,23.884999999999998,2
2018-12-01,27.905,31.795,24.665,2
2019-02-01,18.65,21.24,15.54,1
2019-03-01,27.886666666666667,31.1077987768278,24.665534556505534,3
2019-04-01,25.55,27.87,22.77,1
2019-06-01,24.18,25.91,21.94,1
2019-09-01,25.365000000000002,28.310000000000002,22.265,2
2019-10-01,25.825,29.265,22.5,2
2019-11-01,25.884999999999998,29.384999999999998,22.43,2
2019-12-01,25.130000000000003,28.79,21.730000000000004,2
2020-01-01,26.0,28.86,22.775,2
2020-02-01,26.4,29.805,22.96,2
2020-03-01,26.79,30.25,23.34,1
2020-04-01,24.35,27.880000000000003,20.720000000000002,2
2020-05-01,22.615000000000002,25.985,19.435000000000002,2
2020-06-01,22.06,25.71,18.64,1
2020-09-01,22.67,26.01,19.020000000000003,2
2020-10-01,21.83,24.81,17.43,1
2020-11-01,20.61,23.412799999999997,16.305,2
2020-12-01,23.65,23.94,21.41,1
2021-01-01,28.62,31.34,25.33,1
2021-02-01,21.634999999999998,25.264999999999997,15.479999999999997,2
2021-03-01,29.31,30.73,27.68,1
2021-05-01,25.595,27.775,22.924999999999997,2
2021-10-01,35.28,37.9064,32.653600000000004,2
2021-11-01,27.52,27.99,22.7,1
2022-03-01,20.18,22.114087374792913,18.245912625207087,3
2022-04-01,28.1,30.1,26.08,1
2022-10-01,19.433333333333334,24.29967998947876,14.566986677187906,3
2023-03-01,17.3,18.65,15.899999999999999,2
2023-05-01,30.82,31.73,30.18,1
2023-12-01,11.71,12.06,11.28,1
2024-02-01,19.715,26.7451391366032,12.6848608633968,4
2024-04-01,21.02,21.58,20.35,1
2024-10-01,24.54,24.98,24.17,1
2024-11-01,28.05,28.48,27.55,1
2025-01-01,25.53,26.32,24.78,1
2025-02-01,48.75,55.06,45.6,1
2025-03-01,29.569999999999997,37.02022615853595,22.11977384146405,3
2025-04-01,31.88,32.9188,30.841200000000004,2
2025-05-01,24.48,25.8,23.57,1
2025-10-01,14.37,14.83,13.83,1
2025-11-01,20.75,21.28,20.22,1
2025-12-01,17.895,28.9396,6.850399999999999,2
2026-03-01,19.55,20.08,18.92,1
