Datetime,mhw_days,mhw_peak_intensity,mhw_cum_intensity,anomaly_mean
2003-01-01,0,0.0,0.0,-0.07920407238514164
2003-02-01,0,0.0,0.0,0.4328068516233765
2003-03-01,0,0.1401129272727264,0.2458813863636351,0.3133276335777128
2003-04-01,0,0.0,0.0,-0.4960413669696972
2003-05-01,9,0.4074588727272719,0.9680110636363644,0.39716080542522014
2003-06-01,26,1.9549861545454519,30.71049762727275,2.2836303018181825
2003-07-01,22,0.9827995090909099,4.118667227272738,1.4246096659824041
2003-08-01,29,1.4230405363636365,23.754352372727293,2.1581253838709675
2003-09-01,4,0.09391630909091475,0.12117093636364373,0.27449554727272724
2003-10-01,0,0.0,0.0,-0.18997476246334322
2003-11-01,0,0.0,0.0,-1.2982867727272729
2003-12-01,0,0.0,0.0,-0.107130700097752
2004-01-01,6,0.2688839772727256,0.5731836227272726,0.12481916955034239
2004-02-01,0,0.0,0.0,-0.5997096678683385
2004-03-01,0,0.0,0.0,-0.23405968651026365
2004-04-01,0,0.0,0.0,-0.5982636530303032
2004-05-01,0,0.0,0.0,-1.5581947822580644
2004-06-01,0,0.0,0.0,-0.9167380118181817
2004-07-01,0,0.0,0.0,-0.9892969885630507
2004-08-01,0,0.0,0.0,-0.22600980439882698
2004-09-01,0,0.0,0.0,-0.13493529484848507
2004-10-01,0,0.0,0.0,0.11660347917888528
2004-11-01,6,0.37732457272727515,0.7588730090909159,0.4526493193939391
2004-12-01,5,0.10132909090909337,0.25358244545454767,0.3256967891495599
2005-01-01,17,0.35533880909090776,1.5488803409090899,0.6712537501955038
2005-02-01,0,0.0,0.0,-0.19975709480519482
2005-03-01,0,0.0,0.0,-0.49644231803519034
2005-04-01,0,0.0,0.0,-0.425056966969697
2005-05-01,1,0.37380191818181885,0.37380191818181885,0.2401722086510269
2005-06-01,14,0.5011694090909096,2.989718745454546,0.9935538351515152
2005-07-01,2,0.0,0.0,-0.03584914046920891
2005-08-01,0,0.0,0.0,-0.6500497774193549
2005-09-01,0,0.0,0.0,0.046371713939394134
