year,event_count,total_mhw_days,mean_duration,max_intensity,mean_intensity,cum_intensity_sum
2003,4,89,22.25,2.1366745090909127,0.5391513109157755,59.40038901818184
2004,1,8,8.0,0.3153514090909084,0.16672933636363618,1.3338346909090895
2005,3,22,7.333333333333333,0.6674917727272742,0.18656196358225094,3.960443090909088
2006,2,166,83.0,1.2173255772727298,0.49924675415209796,90.67586589545458
2007,1,48,48.0,1.776941490909092,0.799743167045455,38.38767201818184
2008,3,22,7.333333333333333,0.4635101999999982,0.16501661640692625,3.5149976181818126
2009,5,56,11.2,1.2338981727272724,0.2754835469132232,16.462055027272715
2010,1,9,9.0,1.3965867000000003,0.7166590080808071,6.449931072727264
2011,4,44,11.0,0.8797897227272724,0.1613038637847199,8.590034159090902
2012,7,68,9.714285714285714,0.4470580409090914,0.10048071828458174,9.38708167727273
2013,2,29,14.5,0.5941761545454565,0.2783656722661397,8.589149745454538
2014,5,253,50.6,1.5789164818181831,0.3940628296947249,134.8613462363637
2015,5,103,20.6,1.6817101636363638,0.37099608807246354,39.67911570909091
2016,7,104,14.857142857142858,0.5485468181818174,0.1295121229701822,21.158671263636386
2017,4,124,31.0,1.5309981181818202,0.4522200409613635,61.031392600000046
2018,7,176,25.142857142857142,1.822313727272725,0.4194448119550213,71.29714349090908
2019,10,186,18.6,2.290123536363634,0.3153098426694113,64.42097785000004
2020,4,98,24.5,1.2519579818181796,0.41409254514540594,52.57800387727274
2021,6,116,19.333333333333332,0.9390290409090927,0.19041369668087146,31.87222470909094
2022,6,257,42.833333333333336,2.396023818181817,0.5747526244253908,196.42348508181823
2023,8,326,40.75,2.273506872727271,0.5108226156572062,237.82806549545458
2024,3,131,43.666666666666664,2.6040302636363677,0.5398100122218922,95.00358894545454
2025,8,370,46.25,2.8570350545454595,0.4736867085687682,252.83208782272737
2026,1,34,34.0,1.5088259090909055,0.7491801366310166,25.472124645454564
