lag,cumulative_rr,ci_lower,ci_upper,intensity_ref
0,-1.074255821460241,-2.944241664893517,0.7957300219730354,0.7813556515712683
1,-1.8057903217582003,-4.594061762020556,0.9824811185041555,0.7813556515712683
2,-2.3172528525854075,-5.58664012481001,0.9521344196391959,0.7813556515712683
3,-2.7130274690197926,-6.371867724141062,0.9458127861014765,0.7813556515712683
4,-3.0792329295256895,-7.164229085710821,1.0057632266594423,0.7813556515712683
5,-3.4837226959538348,-8.012250222219047,1.0448048303113766,0.7813556515712683
6,-3.976084933541368,-8.92744340571436,0.9752735386316251,0.7813556515712683
7,-4.587642510911834,-9.951788979385146,0.7765039575614763,0.7813556515712683
8,-5.331453000075177,-11.141711073030029,0.4788050728796751,0.7813556515712683
9,-6.202308676427745,-12.506944714871477,0.10232736201598591,0.7813556515712683
10,-7.176736518752289,-13.970790685607344,-0.3826823518972349,0.7813556515712683
11,-8.212998209217966,-15.426815721701264,-0.9991806967346699,0.7813556515712683
12,-9.251090133380332,-16.965467288216928,-1.5367129785437363,0.7813556515712683
