,O2,CO2,Temperature,Salinity,pH,EC50,mhw_peak_intensity,mhw_days
O2,1.0,-0.8691555635810192,-0.8027821129612671,-0.11649533734893142,0.8978989049541474,0.6966568211425107,-0.18112290428118094,-0.13413546320674677
CO2,-0.8691555635810192,1.0,0.9092621016109685,0.12667191188040913,-0.9875662638170539,-0.8342404973494474,0.2906794918946086,0.21230783860674352
Temperature,-0.8027821129612671,0.9092621016109685,1.0,0.20515664701861192,-0.9200642323715675,-0.7407811069120739,0.2327066502531589,0.1739820189475977
Salinity,-0.11649533734893142,0.12667191188040913,0.20515664701861192,1.0,-0.09864441320246095,0.10613818988533619,0.31775925325525217,0.2742819219364485
pH,0.8978989049541474,-0.9875662638170539,-0.9200642323715675,-0.09864441320246095,1.0,0.8381937547561621,-0.24897984257855463,-0.1722094620523629
EC50,0.6966568211425107,-0.8342404973494474,-0.7407811069120739,0.10613818988533619,0.8381937547561621,1.0,-0.18333164096406895,-0.14623921425704955
mhw_peak_intensity,-0.18112290428118094,0.2906794918946086,0.2327066502531589,0.31775925325525217,-0.24897984257855463,-0.18333164096406895,1.0,0.8707327919442929
mhw_days,-0.13413546320674677,0.21230783860674352,0.1739820189475977,0.2742819219364485,-0.1722094620523629,-0.14623921425704955,0.8707327919442929,1.0
