intensity,lag,fit,low,high
0,0,0,0,0
0.09851845015673998,0,0.22970522231883583,-2.624756240507444,3.0841666851451155
0.19703690031347995,0,-0.02956951315683666,-2.5106788380743446,2.4515398117606715
0.2955553504702199,0,-0.37052967719883206,-2.444730869142723,1.703671514745059
0.3940738006269599,0,-0.6207400149355397,-2.7429473373184003,1.5014673074473213
0.4925922507836999,0,-0.7961231790625062,-2.8726058222558617,1.2803594641308491
0.5911107009404398,0,-0.9172630273004292,-2.852691875600506,1.0181658209996476
0.6896291510971798,0,-1.0047345204062523,-2.8527102465449747,0.8432412057324701
0.7881476012539198,0,-1.074255821460241,-2.944241664893517,0.7957300219730354
0.8866660514106598,0,-1.1286597071589501,-3.0790042081322846,0.8216847938143843
0.9851845015673998,0,-1.1686660544240588,-3.2119312055064606,0.8745990966583428
1.0837029517241397,0,-1.1949947401772485,-3.317881632213438,0.9278921518589407
1.1822214018808797,0,-1.2083656413401982,-3.3867311001291647,0.9699998174487685
1.2807398520376196,0,-1.209498634834588,-3.4184329036906007,0.9994356340214248
1.3792583021943596,0,-1.1991135975820983,-3.4201062801826208,1.0218790850184238
1.4777767523510996,0,-1.1779304065044085,-3.404572769410688,1.0487119564018708
1.5762952025078396,0,-1.1466689385231987,-3.3893289445102717,1.0959910674638742
1.6748136526645796,0,-1.1060490705601493,-3.3948963298545607,1.182798188734262
1.7733321028213196,0,-1.0567906795369402,-3.441772752043427,1.3281913929695464
1.8718505529780596,0,-0.999613642375251,-3.546338699713573,1.5471114149630711
1.9703690031347996,0,-0.935237835996762,-3.7176015056907756,1.8471258336972518
2.0688874532915396,0,-0.8643831373231531,-3.956668872254224,2.227902597607918
2.1674059034482793,0,-0.7877694232761043,-4.2588010231908955,2.683262176638687
2.2659243536050195,0,-0.7061165707772954,-4.616249356462139,3.204016214907548
2.3644428037617593,0,-0.620144456748407,-5.020422515831988,3.780133602335174
2.4629612539184995,0,-0.5305729581111183,-5.463039617611965,4.40189370138973
2.5614797040752393,0,-0.4381219517871099,-5.936554770363141,5.060310866788921
2.6599981542319795,0,-0.3435113146980612,-6.434206564311608,5.747183934915486
2.7585166043887193,0,-0.24746092376565296,-6.949921283234857,6.454999435703551
2.8570350545454595,0,-0.15069065591156428,-7.478181731214873,7.1768004193917445
0,1,0,0,0
0.09851845015673998,1,0.7768563338541993,-0.909639950955719,2.4633526186641177
0.19703690031347995,1,0.5106284671533137,-0.941442647985377,1.9626995822920044
0.2955553504702199,1,0.03835596682331602,-1.1518303983561502,1.2285423320027822
0.3940738006269599,1,-0.2832740823023451,-1.48217921376986,0.9156310491651697
