Datetime,CO2,Temperature,mhw_lagged
2026-01-01,38.69176569109085,16.24130232697643,4.992945523154865
2026-02-01,38.263444762102075,15.74622745506102,4.00396525055845
2026-03-01,38.84278583311329,16.098056583145606,3.010180561944715
2026-04-01,40.925313904124515,17.556971711230204,2.2810936105580226
2026-05-01,46.20792997513575,20.788730839314795,2.016395873331007
2026-06-01,53.019469046146966,24.886107967399383,2.2919897819844826
2026-07-01,58.802958117158184,27.94787909548397,3.039007058048284
2026-08-01,58.29821718816941,28.14461622356857,4.061618242765576
2026-09-01,54.19979625918064,26.462474351653157,5.0890338435001325
2026-10-01,47.375151330191855,22.728061479737747,5.847889688831846
2026-11-01,43.85992040120308,20.351236607822337,6.13566710830375
2026-12-01,40.3754314722143,18.019329735906926,5.875428845543508
2027-01-01,38.97274824749488,16.3406669380217,5.137078003672747
2027-02-01,38.5444273185061,15.845592066106287,4.119271234972728
2027-03-01,39.123768389517316,16.19742119419088,3.096660050255444
2027-04-01,41.20629646052854,17.656336322275465,2.3464706391167316
2027-05-01,46.488912531539775,20.888095450360055,2.0740488655381597
2027-06-01,53.30045160255099,24.985472578444654,2.3573668105431915
2027-07-01,59.08394067356221,28.04724370652924,3.1254865463590136
2027-08-01,58.57919974457344,28.24398083461383,4.176924227179882
2027-09-01,54.480778815584664,26.56183896269842,5.233166324018015
2027-10-01,47.65613388659588,22.827426090783018,6.013124629101732
2027-11-01,44.1409029576071,20.450601218867604,6.3086260849252085
2027-12-01,40.65641402861833,18.118694346952193,6.040663785813394
2028-01-01,39.253730803898904,16.440031549066966,5.2812104841906296
2028-02-01,38.82540987491013,15.94495667715155,4.234577219387034
2028-03-01,39.40475094592134,16.296785805236148,3.1831395385661736
2028-04-01,41.48727901693257,17.75570093332074,2.4118476676754566
2028-05-01,46.7698950879438,20.987460061405326,2.1317018577453126
2028-06-01,53.58143415895502,25.084837189489914,2.4227438391019165
2028-07-01,59.36492322996624,28.14660831757451,3.211966034669743
2028-08-01,58.86018230097746,28.3433454456591,4.2922302115941875
2028-09-01,54.76176137198869,26.661203573743688,5.377298804535897
2028-10-01,47.93711644299991,22.92679070182828,6.178359569371619
2028-11-01,44.42188551401113,20.54996582991287,6.481585061546667
2028-12-01,40.937396585022356,18.21805895799746,6.205898726083281
2029-01-01,39.53471336030293,16.539396160112233,5.425342964708512
2029-02-01,39.106392431314156,16.04432128819682,4.3498832038013395
2029-03-01,39.68573350232537,16.396150416281408,3.269619026876903
2029-04-01,41.768261573336595,17.855065544366,2.477224696234182
2029-05-01,47.05087764434783,21.086824672450597,2.1893548499524655
2029-06-01,53.862416715359046,25.184201800535185,2.488120867660642
2029-07-01,59.645905786370264,28.24597292861977,3.2984455229804723
2029-08-01,59.14116485738149,28.442710056704364,4.407536196008493
2029-09-01,55.04274392839272,26.76056818478896,5.521431285053744
2029-10-01,48.218098999403935,23.02615531287355,6.343594509641505
2029-11-01,44.70286807041516,20.64933044095814,6.654544038168083
2029-12-01,41.21837914142638,18.317423569042727,6.371133666353168
2030-01-01,39.81569591670696,16.638760771157497,5.569475445226359
2030-02-01,39.38737498771818,16.143685899242087,4.465189188215645
2030-03-01,39.966716058729396,16.495515027326682,3.356098515187611
2030-04-01,42.04924412974062,17.954430155411266,2.542601724792907
2030-05-01,47.331860200751855,21.186189283495857,2.2470078421596043
2030-06-01,54.14339927176307,25.283566411580455,2.553497896219367
2030-07-01,59.92688834277429,28.345337539665042,3.3849250112911804
2030-08-01,59.42214741378552,28.54207466774963,4.522842180422799
2030-09-01,55.323726484796744,26.859932795834222,5.665563765571626
2030-10-01,48.49908155580796,23.125519923918816,6.508829449911392
2030-11-01,44.983850626819184,20.748695052003406,6.827503014789542
2030-12-01,41.49936169783041,18.416788180087995,6.536368606623054
2031-01-01,40.096678473110984,16.738125382202767,5.713607925744241
2031-02-01,39.66835754412221,16.243050510287354,4.580495172629951
