feature,permutation_importance
time_index,1.341370023613031
mhw_peak_lag12,0.060263272245286076
mhw_peak_lag5,0.011223126866739567
mhw_peak_lag1,0.011183177159834398
mhw_peak_lag2,0.006231083138776589
mhw_peak_lag9,0.005385265299715161
mhw_days_lag5,0.005237548176298485
mhw_days_lag0,0.005184524298817697
mhw_peak_lag0,0.004493117269972519
mhw_peak_lag8,0.004429318905212879
mhw_peak_lag10,0.0034737827125620956
mhw_peak_lag6,0.0032523789741335375
mhw_days_lag9,0.0026305069714968733
mhw_peak_lag11,0.0024646442485038358
mhw_peak_lag4,0.002312660648098984
month_cos,0.0023019025884439925
mhw_peak_lag7,0.001807798189957448
mhw_days_lag7,0.0017337551688579322
mhw_peak_lag3,0.0016545858938230263
mhw_days_lag1,0.0016264313902001571
mhw_days_lag2,0.0015032221240296106
mhw_days_lag10,0.0014006732448476832
month_sin,0.0009101635383269891
mhw_days_lag11,0.0008589541893740382
mhw_days_lag6,0.0008387543005166776
mhw_days_lag4,0.0007895988128962638
mhw_days_lag8,0.0007574026126786471
mhw_days_lag12,0.0006129299120321862
mhw_days_lag3,0.000507106772110344
