,O2,CO2,Temperature,Salinity,pH,EC50,mhw_peak_intensity,mhw_days
O2,0.0,1.0169631085537829e-38,2.3722156338576237e-30,0.2687725340879542,3.2685254883636375e-44,4.94027293755941e-19,1.0696824603950227e-05,0.0007551340421258781
CO2,1.0169631085537829e-38,0.0,1.0905659542384417e-49,0.1507465986787359,4.10808447301129e-107,1.638385048401898e-32,6.822335871548363e-07,0.00020168136663865514
Temperature,2.3722156338576237e-30,1.0905659542384417e-49,0.0,0.024565000649303063,1.8671243821989367e-52,7.176219806309002e-23,1.4191548727021964e-05,0.0006934290060216373
Salinity,0.2687725340879542,0.1507465986787359,0.024565000649303063,0.0,0.24894067576922307,0.22434440951437667,0.0072276161033028846,0.30545615627753925
pH,3.2685254883636375e-44,4.10808447301129e-107,1.8671243821989367e-52,0.24894067576922307,0.0,3.5818667734232294e-33,2.1918001711189906e-06,0.0005064281128049004
EC50,4.94027293755941e-19,1.638385048401898e-32,7.176219806309002e-23,0.22434440951437667,3.5818667734232294e-33,0.0,0.0006260913021687543,0.0023219514026277294
mhw_peak_intensity,1.0696824603950227e-05,6.822335871548363e-07,1.4191548727021964e-05,0.0072276161033028846,2.1918001711189906e-06,0.0006260913021687543,0.0,1.5692729342487388e-29
mhw_days,0.0007551340421258781,0.00020168136663865514,0.0006934290060216373,0.30545615627753925,0.0005064281128049004,0.0023219514026277294,1.5692729342487388e-29,0.0
