series,break_date,break_year,p_value,pre_mean,post_mean
EC50,2016-05-01,2016,1.6176494741534486e-22,46.67564157706093,26.816119047619043
MHW_total_mhw_days,2013,2013,0.005476607242386442,53.2,164.78571428571428
MHW_cum_intensity_sum,2013,2013,0.011788829841538149,23.816230426818187,92.36052696233769
MHW_max_intensity,2016,2016,0.036570276496360826,1.1068792611888119,1.8202173764462808
Temperature,2013,2013,0.011788829841538149,18.431805770833332,18.869245464736217
Salinity,2015,2015,0.024058438131529893,37.91271739583333,38.044247403476284
CO2,2013,2013,0.004483866771871381,40.0672139,41.63451997984492
O2,2018,2018,0.07937915425192252,237.8253576111111,236.3771921971752
pH,2013,2013,0.005476607242386442,8.093951695,8.08010267914923
