variable,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
Temperature,0.21004603921799683,0.20049364275749434,0.1673297798581472,0.14627739713343585,0.1086414893880081,0.048263327491184865,-0.0009993984095379416,-0.028858378658191738,-0.04129407837933958,-0.015521959707345132,0.02100633862496428,0.053250762729115504,0.07670327398549538
Salinity,0.23596159991352345,0.2142694199511995,0.1763909802370734,0.17162000680957532,0.16625743752463626,0.10824238468830022,0.07771754689195179,0.1097135093136782,0.10373748806306776,0.06487494477422696,0.05881305362135422,0.0677910643426671,0.050012976573799016
O2,-0.13626621055783994,-0.1783284450533733,-0.172512149528774,-0.1823903686045766,-0.17879906782308294,-0.12180740038248185,-0.0736159492566499,-0.03353396824491799,-0.008547973471025254,0.00867813986584409,0.0003997055733252043,-0.036118838038432625,-0.04716210643448655
pH,-0.22303713312733625,-0.20722711742642766,-0.1756262781306858,-0.16285817110838055,-0.1303089960391095,-0.07165714320947728,-0.028515975944769918,-0.0027534890898149016,0.0006980009758498991,-0.021752019714142774,-0.049526270187426766,-0.09838463527086067,-0.11708962812211465
CO2,0.22804791107525677,0.19962517773041025,0.17011840576489404,0.16101472935105132,0.12478587545039048,0.06397814605504745,0.02112433186423601,-0.0021228251571918065,-0.0011356027138768655,0.025485283503523883,0.0555701403666327,0.10099356297969315,0.1144547277910194
EC50,-0.3639310903690556,-0.36056770234770763,-0.36372190739502513,-0.3670211233261018,-0.36706080289872156,-0.3682986222030679,-0.3626200164513165,-0.361500256923312,-0.3617092809155531,-0.36196983357330714,-0.37023131117408115,-0.3707849862354004,-0.3808395803807974
