lag,coef,se,cumul,n_obs
0,-0.05972984780930385,0.8987273428235494,-0.05972984780930385,161
1,-0.961523335280364,0.9176174851130455,-1.0212531830896678,161
2,0.25615166086089936,0.8866184066158697,-0.7651015222287685,161
3,-1.1281573285296191,0.9231424818358809,-1.8932588507583876,161
4,1.6001529396724274,1.253972989291549,-0.2931059110859602,161
5,0.8740575555326086,1.0560225084964834,0.5809516444466484,161
6,0.5420253257015645,0.8835189915340058,1.1229769701482128,161
7,-2.3826763584903086,1.020356487748217,-1.2596993883420957,161
8,-0.1654095843573976,1.057169974196552,-1.4251089726994932,161
9,0.06437314200879829,1.1402364310121684,-1.360735830690695,161
10,-1.8056630038638604,1.254241215832371,-3.1663988345545553,161
11,-0.027366554384933017,0.9048251872876742,-3.193765388939488,161
12,-0.6581121296004344,1.0906997098695765,-3.8518775185399226,161
