variable,lag,spearman_r,p_value,n
O2,0,-0.11585785721182454,0.0523781934452105,281
O2,1,-0.03521956364729075,0.5572831281313348,280
O2,2,0.0018647103565930443,0.9752639609159126,279
O2,3,-0.020724828199819172,0.7308222714367549,278
O2,4,-0.07967697797489265,0.18610303417738291,277
O2,5,0.0062290231188427995,0.9179505542963918,276
O2,6,0.05843669897541288,0.33430732372733896,275
O2,7,0.058565326585997855,0.3341312489159459,274
O2,8,-0.009329824436259654,0.8780434067124949,273
O2,9,0.07094383943800753,0.24356704298909201,272
O2,10,0.061370718480779726,0.3141420755266275,271
O2,11,-0.03542408308536494,0.5622124131041317,270
O2,12,0.012174674509140181,0.8424528287918728,269
CO2,0,0.21154159042657986,0.00037379420674417115,279
CO2,1,-0.008890641912781464,0.8826808490084699,278
CO2,2,-0.03325635831455924,0.5815338218071224,277
CO2,3,-0.008585450296465232,0.8870898793064779,276
CO2,4,0.04234191486458419,0.48437921008367923,275
CO2,5,0.0153101040901636,0.8008219224310995,274
CO2,6,0.000979739097787606,0.987143705357195,273
CO2,7,-0.06433527573948218,0.2903957990317129,272
CO2,8,-0.0995843972645265,0.10186949882890398,271
CO2,9,-0.0246856380236692,0.6863553420294735,270
CO2,10,-0.0040473784295394066,0.947319639558112,269
CO2,11,0.07117385713284352,0.24556333196666702,268
CO2,12,0.015435084217090519,0.801780868290703,267
Temperature,0,0.2031152220166495,0.0006138280598039592,281
Temperature,1,0.0033041016805764015,0.9561057878843433,280
Temperature,2,0.0006630081267886379,0.9912037394223574,279
Temperature,3,0.008826104157484761,0.8835264120500333,278
Temperature,4,0.03810538536331571,0.5276734130778735,277
Temperature,5,-0.005334946500614248,0.9296945343286974,276
Temperature,6,-0.0026535007795327765,0.9650614560341475,275
Temperature,7,-0.03679956793956645,0.5441416571568061,274
Temperature,8,-0.10841202151766081,0.07372506713027381,273
Temperature,9,-0.04244942210380307,0.48568766958280396,272
Temperature,10,-0.006872331133808505,0.9103387760600907,271
Temperature,11,0.061107293524438513,0.3171305400359374,270
Temperature,12,0.018987886683046344,0.7565592793251172,269
Salinity,0,0.1206236176915474,0.04334295989499241,281
Salinity,1,0.032158081036504825,0.5920698134898903,280
Salinity,2,-0.030713127751140264,0.6094716961169997,279
Salinity,3,-0.04170837936541145,0.4885695652769343,278
Salinity,4,0.028483745238070343,0.6369153278258575,277
Salinity,5,-0.006731327318587401,0.9113602667834674,276
Salinity,6,-5.324555805300589e-05,0.9992986948827701,275
Salinity,7,-0.04662371843220986,0.44210125991883076,274
Salinity,8,0.02243076781528691,0.7121553133951607,273
Salinity,9,0.06696673053491278,0.2710737510992455,272
Salinity,10,-0.049028611375702184,0.4214745956802942,271
Salinity,11,-0.010166865291719073,0.8679304120585957,270
Salinity,12,-0.10794637770177952,0.07716538962108589,269
pH,0,-0.2037727549863866,0.0005887242278477279,281
pH,1,0.005978956167668344,0.9206615733908412,280
pH,2,0.0045900993372351906,0.9391597701661417,279
pH,3,-0.0017926210714650265,0.9762629912993543,278
pH,4,-0.03834005263078386,0.5251324860112896,277
pH,5,0.0009704637467762334,0.9871949917064529,276
pH,6,0.0038289986992861053,0.9496010620512723,275
pH,7,0.05288560484836591,0.3831969945828808,274
pH,8,0.0777722678464176,0.20017479653151135,273
pH,9,0.04408769985626646,0.4689941848836089,272
pH,10,0.0210097679574573,0.7306178800735192,271
pH,11,-0.07049085337794345,0.2483585349022413,270
pH,12,-0.026015106807308484,0.67100842045826,269
EC50,0,0.014367216917611144,0.8555622492563201,163
EC50,1,-0.01163177881875696,0.8832054922871313,162
EC50,2,-0.08160953676686729,0.30340534450385875,161
EC50,3,0.002445275099530856,0.9755182957456452,160
EC50,4,-0.0007127418406556492,0.9928858192427615,159
EC50,5,0.03416029451069594,0.6690362640083523,159
EC50,6,-0.1109415576056092,0.1638668346638702,159
EC50,7,0.0670038790877642,0.40137728720964194,159
EC50,8,0.029507581352480237,0.7119629298038546,159
EC50,9,0.02294562237088205,0.7740447942452179,159
EC50,10,0.02039071654864375,0.7986343031734012,159
EC50,11,-0.03751237799674641,0.6387507312748051,159
EC50,12,0.028590028933580307,0.721398408904053,158
