,O2,CO2,Temperature,Salinity,pH,EC50,mhw_peak_intensity,mhw_days
O2,0.0,2.573878136402911e-47,1.9389506052979212e-58,2.346332174022131e-07,6.646475928915652e-55,4.472719996975181e-21,0.00018362268035780174,0.0008982324651453705
CO2,2.573878136402911e-47,0.0,2.914965741950523e-108,1.0551576941638427e-22,5.374183308770853e-195,6.444266756029344e-64,7.919573144473709e-12,6.129904608338025e-10
Temperature,1.9389506052979212e-58,2.914965741950523e-108,0.0,1.5576345222386283e-11,2.3950816543630124e-112,5.44853544949504e-40,2.8673559778980577e-09,6.069953593318999e-08
Salinity,2.346332174022131e-07,1.0551576941638427e-22,1.5576345222386283e-11,0.0,4.7076579463980034e-21,2.907928272983264e-13,7.12914053747104e-10,6.588307575624796e-10
pH,6.646475928915652e-55,5.374183308770853e-195,2.3950816543630124e-112,4.7076579463980034e-21,0.0,2.0186954074712173e-64,4.058719975911767e-12,3.051414978838904e-10
EC50,4.472719996975181e-21,6.444266756029344e-64,5.44853544949504e-40,2.907928272983264e-13,2.0186954074712173e-64,0.0,5.338606516951184e-07,9.483716571288196e-06
mhw_peak_intensity,0.00018362268035780174,7.919573144473709e-12,2.8673559778980577e-09,7.12914053747104e-10,4.058719975911767e-12,5.338606516951184e-07,0.0,3.69107718520998e-116
mhw_days,0.0008982324651453705,6.129904608338025e-10,6.069953593318999e-08,6.588307575624796e-10,3.051414978838904e-10,9.483716571288196e-06,3.69107718520998e-116,0.0
