lag,n,r,p
2,12,-0.22377622377622378,0.48445166145539886
3,15,-0.5285714285714286,0.04279728930945035
4,14,-0.432967032967033,0.12201000596848025
5,15,-0.3107142857142856,0.2596673973372179
6,14,0.1164835164835165,0.6916912502331573
7,18,-0.20330237358101136,0.4184467334719628
8,19,-0.40877192982456134,0.0822662693358167
9,17,-0.49509803921568635,0.043314416509935456
10,18,-0.3353973168214654,0.17363506116754215
11,10,0.18787878787878787,0.603217610029209
