Datetime,EC50_forecast,EC50_det,CI_lower,CI_upper,scenario
2026-01-01,22.389117599562898,22.506211734693874,20.814006556137315,24.198416913250433,good
2026-02-01,22.6551733630438,23.20345767667514,21.50283356688198,24.9040817864683,good
2026-03-01,24.40064571139024,23.89539715602932,22.18635411499956,25.604440197059077,good
2026-04-01,24.341248843700317,24.57676409551404,22.85930212324768,26.2942260677804,good
2026-05-01,25.216946615967778,25.242372881299225,23.516491977796267,26.968253784802183,good
2026-06-01,26.373851237635662,25.88715782861947,24.15285799387991,27.621457663359028,good
2026-07-01,26.848101301734086,26.506211734693874,24.763492968717717,28.24893050067003,good
2026-08-01,26.743540820109313,27.094823225502243,25.343685528289484,28.845960922715,good
2026-09-01,27.7702345385805,27.648512612186188,25.88895598373683,29.408069240635545,good
2026-10-01,28.816948890295514,28.163065984186254,26.395090424500296,29.93104154387221,good
2026-11-01,28.60914101431425,28.634567279645697,26.85817278872314,30.410961770568253,good
2026-12-01,29.200346823901047,29.059428089005806,27.27461466684665,30.844241511164963,good
2027-01-01,29.81494572448659,29.434414964969385,27.641182611573626,31.227647318365143,good
2027-02-01,28.8820677610828,29.756674030987075,27.955022746354718,31.55832531561943,good
2027-03-01,28.630820830670643,30.02375270098114,28.213682485112184,31.8338229168501,good
2027-04-01,30.765460433978443,30.23361834500642,28.415129197900864,32.05210749211198,good
2027-05-01,30.336841667706636,30.38467375879154,28.557765680449382,32.21158183713369,good
2027-06-01,29.51151046212041,30.47576931942784,28.640442309849085,32.311096329006595,good
2027-07-01,30.517717135451004,30.48373690990491,28.639990969089553,32.327482850720266,good
2027-08-01,30.58074849844053,30.46137417877222,28.609209306720267,32.313539050824176,good
2027-09-01,30.443126217046903,30.439122982226365,28.57853917893781,32.29970678551492,good
2027-10-01,30.283046235296148,30.41698276398627,28.547980029461115,32.28598549851142,good
2027-11-01,31.40873842150785,30.394952970545322,28.517531304783567,32.27237463630708,good
2027-12-01,30.450789950835592,30.373033051157545,28.48719245415919,32.2588736481559,good
2028-01-01,29.97665784406432,30.35122245782381,28.456962929588855,32.24548198605876,good
2028-02-01,31.17427591291178,30.329520645278144,28.42684218580659,32.2321991047497,good
2028-03-01,30.097767556295704,30.30792707097411,28.396829680265956,32.21902446168227,good
2028-04-01,29.980044750837955,30.28644119507122,28.366924873126464,32.205957517015975,good
2028-05-01,29.96105316658824,30.265062480421456,28.337127227240103,32.19299773360281,good
2028-06-01,30.117369541243516,30.243790392555844,28.30743620813789,32.180144576973795,good
2028-07-01,30.6106662691303,30.222624399671076,28.277851284016524,32.16739751532563,good
2028-08-01,30.812059231289318,30.20156397261623,28.248371925725078,32.15475601950738,good
2028-09-01,29.32854793981606,30.18060858487953,28.218997606751778,32.14221956300728,good
2028-10-01,30.23945977748172,30.159757712575193,28.18972780321084,32.12978762193954,good
2028-11-01,31.344725327986964,30.139010834430323,28.16056199382937,32.11745967503128,good
2028-12-01,29.87640863250446,30.11836743177189,28.131499659934338,32.10523520360944,good
2029-01-01,29.629195200430757,30.09782698851375,28.102540285439595,32.0931136915879,good
2029-02-01,31.144040410529318,30.07738899114375,28.073683356832998,32.081094625454504,good
2029-03-01,30.12284059171386,30.05705292871089,28.044928363163535,32.06917749425824,good
2029-04-01,29.568186504729564,30.036818292812555,28.016274796028604,32.057361789596506,good
2029-05-01,29.591184653508442,30.016684577581792,27.98772214956124,32.04564700560234,good
2029-06-01,30.06242875738618,29.99665127967467,27.95926992041752,32.03403263893182,good
2029-07-01,29.7685859051181,29.9767178982577,27.93091760776395,32.02251818875145,good
2029-08-01,29.820528211163843,29.956883934995307,27.902664713264958,32.01110315672566,good
2029-09-01,29.190885522451133,29.937148894037378,27.874510741070427,31.99978704700433,good
2029-10-01,29.502299098538504,29.917512282006857,27.84645519780331,31.988569366210406,good
2029-11-01,29.71227409998531,29.897973607987428,27.818497592547278,31.977449623427578,good
2029-12-01,29.774788387207302,29.878532383511214,27.790637436834466,31.966427330187962,good
2030-01-01,29.950938969658495,29.859188122546595,27.762874244633245,31.955502000459944,good
2030-02-01,30.44738692416306,29.83994034148604,27.73520753233609,31.944673150635992,good
2030-03-01,29.87322847254511,29.820788559134023,27.707636818747474,31.93394029952057,good
2030-04-01,29.531002114409144,29.80173229669498,27.68016162507183,31.92330296831813,good
2030-05-01,31.619631770873777,29.78277107776136,27.652781474901612,31.91276068062111,good
2030-06-01,30.144435187818914,29.763904428301707,27.625495894205358,31.902312962398057,good
2030-07-01,29.86450619631711,29.7451318766488,27.59830441131585,31.891959341981746,good
2030-08-01,29.801383988455147,29.72645295348786,27.571206556918312,31.88169935005741,good
2030-09-01,29.71044545720808,29.70786719184485,27.544201864038705,31.871532519650998,good
2030-10-01,30.18317259797763,29.689374127074753,27.517289868032005,31.8614583861175,good
2030-11-01,29.484343707131636,29.67097329684999,27.49047010657064,31.85147648712934,good
2030-12-01,30.497419508782478,29.65266424114884,27.463742119632894,31.84158636266479,good
2031-01-01,29.499851736624798,29.634446502243968,27.43710544949142,31.831787554996517,good
2031-02-01,30.047336041917035,29.61631962469094,27.410559640701795,31.822079608680088,good
2031-03-01,29.183069971848532,29.598283155316885,27.384104240091137,31.812462070542633,good
2031-04-01,25.342784991293886,29.580336643209122,27.357738796746776,31.80293448967147,good
2031-05-01,29.70640627496679,29.562479639703916,27.33146286200497,31.793496417402864,good
2031-06-01,29.62246634255133,29.544711698375245,27.3052759894397,31.78414740731079,good
2031-07-01,29.111819191555302,29.527032375023655,27.27917773485151,31.7748870151958,good
2031-08-01,29.57017572520959,29.509441227665143,27.253167656256398,31.765714799073887,good
2031-09-01,29.367178718385542,29.491937816520103,27.227245313874757,31.75663031916545,good
2031-10-01,29.526961617413438,29.47452170400235,27.201410270120405,31.747633137884293,good
2031-11-01,29.105910049315234,29.457192454708164,27.17566208958962,31.73872281982671,good
2031-12-01,29.020183260106915,29.439949635405405,27.15000033905026,31.72989893176055,good
2032-01-01,29.100475563190844,29.422792815022696,27.12442458743095,31.72116104261444,good
2032-02-01,30.341172024110097,29.405721564638633,27.098934405810287,31.71250872346698,good
2032-03-01,29.38879334901784,29.388735457471064,27.07352936740612,31.703941547536008,good
2032-04-01,30.025716974975694,29.371834068866434,27.04820904756489,31.69545909016798,good
2032-05-01,29.443204571363857,29.35501697628914,27.022973023750996,31.687060928827282,good
2032-06-01,29.635760760293778,29.338283759310993,26.99782087553625,31.678746643085738,good
2032-07-01,29.384272778635623,29.3216339996007,26.972752184589357,31.670515814612042,good
2032-08-01,29.03433709862756,29.305067280913395,26.94776653466545,31.66236802716134,good
2032-09-01,28.951456319269315,29.288583189080256,26.922863511595715,31.654302866564798,good
2032-10-01,28.610643375427184,29.272181311998125,26.89804270327698,31.646319920719268,good
2032-11-01,29.3307922745865,29.255861239619215,26.87330369966147,31.63841877957696,good
2032-12-01,29.53709956492366,29.239622563940877,26.848646092746534,31.63059903513522,good
2033-01-01,29.503727498167773,29.223464878995365,26.82406947656442,31.62286028142631,good
2033-02-01,29.22521499953126,29.207387780839717,26.799573447172175,31.61520211450726,good
2033-03-01,29.143183467899306,29.191390867545643,26.7751576026415,31.607624132449786,good
2033-04-01,29.053374904357955,29.175473739189478,26.750821543048737,31.60012593533022,good
2033-05-01,29.357210334453093,29.159635997842177,26.726564870464834,31.59270712521952,good
2033-06-01,29.142423967143557,29.143877247559388,26.702387188945448,31.585367306173328,good
2033-07-01,29.782080000480796,29.128197094371536,26.678288104520995,31.578106084222078,good
2033-08-01,29.311391952429798,29.112595146273968,26.65426722518683,31.570923067361107,good
2033-09-01,28.558568876238017,29.097071013217167,26.630324160893426,31.56381786554091,good
2033-10-01,28.947687778406888,29.08162430709701,26.606458523536666,31.55679009065735,good
