lag,intensity
0,0
0,0.09851845015673998
0,0.19703690031347995
0,0.2955553504702199
0,0.3940738006269599
0,0.4925922507836999
0,0.5911107009404398
0,0.6896291510971798
0,0.7881476012539198
0,0.8866660514106598
0,0.9851845015673998
0,1.0837029517241397
0,1.1822214018808797
0,1.2807398520376196
0,1.3792583021943596
0,1.4777767523510996
0,1.5762952025078396
0,1.6748136526645796
0,1.7733321028213196
0,1.8718505529780596
0,1.9703690031347996
0,2.0688874532915396
0,2.1674059034482793
0,2.2659243536050195
0,2.3644428037617593
0,2.4629612539184995
0,2.5614797040752393
0,2.6599981542319795
0,2.7585166043887193
0,2.8570350545454595
3,0
3,0.09851845015673998
3,0.19703690031347995
3,0.2955553504702199
3,0.3940738006269599
3,0.4925922507836999
3,0.5911107009404398
3,0.6896291510971798
3,0.7881476012539198
3,0.8866660514106598
3,0.9851845015673998
3,1.0837029517241397
3,1.1822214018808797
3,1.2807398520376196
3,1.3792583021943596
3,1.4777767523510996
3,1.5762952025078396
3,1.6748136526645796
3,1.7733321028213196
3,1.8718505529780596
3,1.9703690031347996
3,2.0688874532915396
3,2.1674059034482793
3,2.2659243536050195
3,2.3644428037617593
3,2.4629612539184995
3,2.5614797040752393
3,2.6599981542319795
3,2.7585166043887193
3,2.8570350545454595
6,0
6,0.09851845015673998
6,0.19703690031347995
6,0.2955553504702199
6,0.3940738006269599
6,0.4925922507836999
6,0.5911107009404398
6,0.6896291510971798
6,0.7881476012539198
6,0.8866660514106598
6,0.9851845015673998
6,1.0837029517241397
6,1.1822214018808797
6,1.2807398520376196
6,1.3792583021943596
6,1.4777767523510996
6,1.5762952025078396
6,1.6748136526645796
6,1.7733321028213196
6,1.8718505529780596
6,1.9703690031347996
6,2.0688874532915396
6,2.1674059034482793
6,2.2659243536050195
6,2.3644428037617593
6,2.4629612539184995
6,2.5614797040752393
6,2.6599981542319795
6,2.7585166043887193
6,2.8570350545454595
9,0
9,0.09851845015673998
9,0.19703690031347995
9,0.2955553504702199
9,0.3940738006269599
9,0.4925922507836999
9,0.5911107009404398
9,0.6896291510971798
9,0.7881476012539198
9,0.8866660514106598
9,0.9851845015673998
9,1.0837029517241397
9,1.1822214018808797
9,1.2807398520376196
9,1.3792583021943596
9,1.4777767523510996
9,1.5762952025078396
9,1.6748136526645796
9,1.7733321028213196
9,1.8718505529780596
9,1.9703690031347996
9,2.0688874532915396
9,2.1674059034482793
9,2.2659243536050195
9,2.3644428037617593
9,2.4629612539184995
9,2.5614797040752393
9,2.6599981542319795
9,2.7585166043887193
9,2.8570350545454595
12,0
12,0.09851845015673998
12,0.19703690031347995
12,0.2955553504702199
12,0.3940738006269599
12,0.4925922507836999
12,0.5911107009404398
12,0.6896291510971798
12,0.7881476012539198
12,0.8866660514106598
12,0.9851845015673998
12,1.0837029517241397
12,1.1822214018808797
12,1.2807398520376196
12,1.3792583021943596
12,1.4777767523510996
12,1.5762952025078396
12,1.6748136526645796
12,1.7733321028213196
12,1.8718505529780596
12,1.9703690031347996
12,2.0688874532915396
12,2.1674059034482793
12,2.2659243536050195
12,2.3644428037617593
12,2.4629612539184995
12,2.5614797040752393
12,2.6599981542319795
12,2.7585166043887193
12,2.8570350545454595
