Datetime,Salinity,period
2003-01-01,37.765892,2003–2015
2003-02-01,37.775345,2003–2015
2003-03-01,37.87366,2003–2015
2003-04-01,37.883686,2003–2015
2003-05-01,37.792,2003–2015
2003-06-01,37.670998,2003–2015
2003-07-01,37.87671,2003–2015
2003-08-01,37.879223,2003–2015
2003-09-01,37.961674,2003–2015
2003-10-01,37.945423,2003–2015
2003-11-01,37.86259,2003–2015
2003-12-01,37.847633,2003–2015
2004-01-01,37.84631,2003–2015
2004-02-01,37.79743,2003–2015
2004-03-01,37.75141,2003–2015
2004-04-01,37.75875,2003–2015
2004-05-01,37.71752,2003–2015
2004-06-01,37.579308,2003–2015
2004-07-01,37.71002,2003–2015
2004-08-01,37.847897,2003–2015
2004-09-01,37.90007,2003–2015
2004-10-01,37.932926,2003–2015
2004-11-01,37.960274,2003–2015
2004-12-01,38.053944,2003–2015
2005-01-01,37.967533,2003–2015
2005-02-01,37.96139,2003–2015
2005-03-01,38.03691,2003–2015
2005-04-01,38.01465,2003–2015
2005-05-01,37.947212,2003–2015
2005-06-01,37.941235,2003–2015
2005-07-01,38.001884,2003–2015
2005-08-01,38.21503,2003–2015
2005-09-01,38.057156,2003–2015
2005-10-01,38.067295,2003–2015
2005-11-01,38.00931,2003–2015
2005-12-01,37.998497,2003–2015
2006-01-01,38.080856,2003–2015
2006-02-01,38.049618,2003–2015
2006-03-01,38.03302,2003–2015
2006-04-01,38.053375,2003–2015
2006-05-01,38.075832,2003–2015
2006-06-01,38.08706,2003–2015
2006-07-01,38.213196,2003–2015
2006-08-01,38.25186,2003–2015
2006-09-01,38.20523,2003–2015
2006-10-01,38.115154,2003–2015
2006-11-01,38.14698,2003–2015
2006-12-01,38.14965,2003–2015
2007-01-01,38.12789,2003–2015
2007-02-01,38.075157,2003–2015
2007-03-01,38.021397,2003–2015
2007-04-01,37.98814,2003–2015
2007-05-01,37.746468,2003–2015
2007-06-01,37.71526,2003–2015
2007-07-01,37.88653,2003–2015
2007-08-01,37.897324,2003–2015
2007-09-01,37.94651,2003–2015
2007-10-01,37.8869,2003–2015
2007-11-01,37.94342,2003–2015
2007-12-01,38.0198,2003–2015
2008-01-01,37.940247,2003–2015
2008-02-01,37.898823,2003–2015
2008-03-01,37.877083,2003–2015
2008-04-01,37.844597,2003–2015
2008-05-01,37.771675,2003–2015
