Datetime,EC50_forecast,EC50_det,CI_lower,CI_upper,scenario
2026-01-01,22.653169731471788,22.506211734693874,20.088775765327362,24.923647704060386,mean
2026-02-01,23.406975910956184,22.656211734693873,20.226748720703647,25.0856747486841,mean
2026-03-01,22.892975302614516,22.806211734693875,20.364721676079935,25.247701793307815,mean
2026-04-01,22.45877041394608,22.956211734693873,20.50269463145622,25.409728837931528,mean
2026-05-01,23.100626441823216,23.106211734693876,20.640667586832507,25.571755882555244,mean
2026-06-01,22.30087593282705,23.256211734693874,20.77864054220879,25.733782927178957,mean
2026-07-01,23.607524213115646,23.406211734693873,20.916613497585075,25.89580997180267,mean
2026-08-01,23.550626441823216,23.556211734693875,21.054586452961363,26.057837016426387,mean
2026-09-01,23.304776726868628,23.706211734693873,21.192559408337647,26.2198640610501,mean
2026-10-01,25.03850623374605,23.856211734693876,21.330532363713935,26.381891105673816,mean
2026-11-01,24.031679189967505,24.006211734693874,21.46850531909022,26.54391815029753,mean
2026-12-01,24.92715306593004,24.156211734693873,21.606478274466504,26.70594519492124,mean
2027-01-01,25.838263699497315,24.306211734693875,21.744451229842795,26.867972239544955,mean
2027-02-01,24.563256070361426,24.456211734693873,21.88242418521908,27.029999284168667,mean
2027-03-01,24.219454331428395,24.606211734693876,22.020397140595367,27.192026328792384,mean
2027-04-01,26.41168397333961,24.756211734693874,22.15837009597165,27.354053373416097,mean
2027-05-01,23.95087593282705,24.906211734693873,22.296343051347936,27.51608041803981,mean
2027-06-01,25.481178878954996,25.056211734693875,22.434316006724224,27.678107462663526,mean
2027-07-01,25.152735274862604,25.206211734693873,22.572288962100508,27.84013450728724,mean
2027-08-01,24.463926711446582,25.356211734693876,22.710261917476796,28.002161551910955,mean
2027-09-01,22.646548312732453,25.506211734693874,22.84823487285308,28.164188596534668,mean
2027-10-01,24.48131677691243,25.656211734693873,22.986207828229364,28.32621564115838,mean
2027-11-01,25.906176859021613,25.806211734693875,23.124180783605652,28.488242685782097,mean
2027-12-01,25.689598035096225,25.956211734693873,23.262153738981937,28.65026973040581,mean
2028-01-01,25.96558174970755,25.917038570355984,23.210953530020333,28.623123610691636,mean
2028-02-01,27.511264671889666,25.87825518551583,23.160143100556468,28.59636727047519,mean
2028-03-01,25.240191451376187,25.839857701802604,23.109718572219528,28.56999683138568,mean
2028-04-01,25.41508487617046,25.80184227943594,23.05967610522915,28.544008453642732,mean
2028-05-01,25.96551759526369,25.764205116841918,23.010011898011413,28.518398335672423,mean
2028-06-01,25.70610469791152,25.72694245027292,22.9607221868187,28.493162713727138,mean
2028-07-01,26.168380345538168,25.690050553431227,22.911803245353294,28.46829786150916,mean
2028-08-01,25.824060479479723,25.65352573709642,22.863251384394772,28.443800089798067,mean
2028-09-01,24.58674868093989,25.617364348756425,22.815062951431063,28.419665746081787,mean
2028-10-01,26.123768627647586,25.581562772242275,22.7672343302932,28.39589121419135,mean
2028-11-01,25.52474797553113,25.546117427366482,22.719761940793692,28.372472913939273,mean
2028-12-01,24.323046135166287,25.511024769565022,22.672642238368518,28.349407300761527,mean
2029-01-01,24.410190758705372,25.476281289542868,22.62587171372265,28.326690865363087,mean
2029-02-01,25.295902123257047,25.44188351292307,22.57944689247914,28.304320133367,mean
2029-03-01,25.728887945121173,25.407827999899297,22.533364334831653,28.28229166496694,mean
2029-04-01,24.199216387110422,25.374111344891865,22.487620635200507,28.260602054583224,mean
2029-05-01,26.20851100860292,25.34073017620718,22.44221242189211,28.239247930522254,mean
2029-06-01,25.254204695869287,25.307681155700557,22.39713635676177,28.218225954639344,mean
2029-07-01,24.88820357517692,25.2749609784424,22.3523891348799,28.197532822004902,mean
2029-08-01,25.52672535822044,25.24256637238772,22.307967484201505,28.177165260573936,mean
2029-09-01,25.05867482623596,25.210494098048915,22.263868165238986,28.157120030858845,mean
2029-10-01,24.987403050043078,25.17874094817182,22.220087970738177,28.137393925605465,mean
2029-11-01,25.126465995053596,25.147303747414995,22.176623725357636,28.117983769472353,mean
2029-12-01,24.204248522804875,25.116179352032155,22.133472285351083,28.098886418713228,mean
2030-01-01,25.063995197722484,25.085364649557835,22.090630538253052,28.08009876086262,mean
2030-02-01,25.371964396418125,25.054856558496102,22.048095402567604,28.0616177144246,mean
2030-03-01,24.158270843239755,25.02465202801243,22.005863827460217,28.04344022856464,mean
2030-04-01,24.771470042156327,24.9947480376286,21.963932792452674,28.025563282804526,mean
2030-05-01,26.14743609597282,24.96514159692065,21.92229930712101,28.00798388672029,mean
2030-06-01,26.38409467516631,24.93582974521984,21.880960410796487,27.990699079643196,mean
2030-07-01,25.066374997146383,24.906809551316574,21.839913172269505,27.973705930363643,mean
2030-08-01,23.700920577887388,24.878078113167277,21.799154689496493,27.95700153683806,mean
2030-09-01,24.43731176775479,24.84963255760419,21.75868208930969,27.940583025898686,mean
2030-10-01,25.54225395432049,24.82147004004805,21.71849252712984,27.924447552966264,mean
2030-11-01,24.7330921446072,24.793587744223643,21.678583186681717,27.90859230176557,mean
2030-12-01,25.15870975375238,24.765982881878138,21.638951279712497,27.89301448404378,mean
2031-01-01,24.953824872102523,24.738652692502303,21.599594045712948,27.877711339291658,mean
2031-02-01,26.235382185033806,24.711594443054423,21.560508751641354,27.862680134467492,mean
2031-03-01,24.19908629235216,24.68480542768701,21.52169269165023,27.84791816372379,mean
2031-04-01,25.000402286803887,24.658282967476197,21.483143186815703,27.83342274813669,mean
2031-05-01,23.933815089998788,24.63202441015386,21.444857584869652,27.81919123543807,mean
2031-06-01,24.807339608264165,24.606027129842392,21.40683325993447,27.805220999750315,mean
2031-07-01,22.59038585491995,24.58028852679209,21.36906761226045,27.791509441323726,mean
2031-08-01,26.27725530363069,24.554806027121202,21.33155806796585,27.778053986276554,mean
2031-09-01,24.660649721289815,24.52957708255853,21.294302078779463,27.764852086337594,mean
2031-10-01,25.14664831781316,24.504599170188584,21.257297121785804,27.751901218591364,mean
2031-11-01,25.039616329120584,24.47986979219932,21.220540699172826,27.739198885225814,mean
2031-12-01,23.99919926660941,24.45538647563233,21.184030337982122,27.72674261328254,mean
2032-01-01,24.052413289780766,24.431146772135552,21.14776358986163,27.714529954409475,mean
