lag,r_raw,p_raw,r_diff,p_diff,r_arima,p_arima,n
0,-0.14740461259485352,0.06204308285112378,0.08028785925850053,0.3113294659349839,0.10352829537612147,0.19124466396439455,161
1,-0.17855311230217144,0.023440707875415887,-0.04180796434508385,0.5996410821811391,-0.0009057971014492755,0.9909013412259982,161
2,-0.2245823553685213,0.004302906761058319,-0.01058712619756106,0.8946291929005253,-0.029201335989687095,0.7139524839834954,160
3,-0.18516025203194544,0.01945989314219308,-0.09513460944981213,0.23442898530144637,-0.0023435634105564845,0.9766109041637325,159
4,-0.18441825221163438,0.02036103535438893,0.17351835188952994,0.029756363355150323,0.003424308482883782,0.9659396920336472,158
5,-0.21756187217969844,0.006197892809905296,-0.19873556770013412,0.01258892714037917,-0.047134998356477026,0.5577369189887456,157
6,-0.18200229871193124,0.022527918788003014,0.10639940099551687,0.18474192384512778,0.054577366518026034,0.4972050588666884,157
7,-0.1765533806749218,0.026971133335751123,-0.056145130573076886,0.48491085520173594,0.06466177537692494,0.4210634015088792,157
8,-0.1844044737883134,0.020778715892435295,0.09275500412040498,0.24791757037550702,0.0983819051222099,0.22025619803832738,157
9,-0.16414421781355068,0.0399524220714579,-0.01471302979353412,0.8548839819369021,0.05312610472652399,0.5087305489518806,157
10,-0.12645069657452598,0.11454199060442966,-0.04815682980132468,0.5492201428556636,0.10890665409733377,0.17454813979073142,157
11,-0.06615315663043554,0.4104084310184434,0.11757648238307068,0.14249901798655287,0.10498700686558464,0.19067301901731554,157
12,-0.1539152117260174,0.05427625772982874,-0.10668124112942352,0.18499939269117643,0.13449599662612644,0.09307363934600896,157
