lib_length,skill_mhw_to_ec50,skill_ec50_to_mhw
10,0.11362046498360502,0.015053651043363722
18,-0.02287063889117649,0.023337312665258046
26,-0.027114457121261464,0.02183735216538539
34,-0.027114457121261464,0.08757017535079392
42,-0.03637039890607472,0.08093943448550392
50,0.026181728317357027,0.1307669434529717
58,0.09321273049371896,0.1679376738633758
66,0.10426719727176126,0.1602022689412033
74,0.10426719727176126,0.09734161261479685
82,0.10426719727176126,0.09122921897344616
90,0.10426719727176126,0.10195311249469123
98,0.10426719727176126,0.11650177665779489
106,0.10426719727176126,0.08242782701273514
114,0.10426719727176126,0.09991780774567414
122,0.10426719727176126,0.0970389731561284
130,0.10426719727176126,0.12481791009070849
138,0.10426719727176126,0.09289893600308134
146,0.10426719727176126,0.019112069996383305
154,0.10426719727176126,6.329667957330476e-05
162,-0.031124401759042672,0.005826567527118674
170,-0.04585574634721889,0.03824145031615032
178,-0.023224541452467082,0.0864877124131188
186,-0.003390635693325171,0.11632386336369283
194,-0.0726941191090762,0.11074124078803094
202,-0.06274902520541016,0.1090848616348779
