,O2,CO2,Temperature,Salinity,pH,EC50,mhw_peak_intensity,mhw_days
O2,1.0,-0.7278365326172243,-0.7801765960503487,-0.3061642851617324,0.7647537269723391,0.524133872625402,-0.22270026632045084,-0.19827025435074475
CO2,-0.7278365326172243,1.0,0.9106814087900188,0.5447175899833129,-0.9797290278376378,-0.8018311617986718,0.3961008585862953,0.3610362435741731
Temperature,-0.7801765960503487,0.9106814087900188,1.0,0.39337599045187815,-0.9165539457834653,-0.685250140901104,0.34909997571620655,0.3200189317186068
Salinity,-0.3061642851617324,0.5447175899833129,0.39337599045187815,1.0,-0.5273165799157908,-0.42155676380554546,0.3577645620303331,0.35840036534779457
pH,0.7647537269723391,-0.9797290278376378,-0.9165539457834653,-0.5273165799157908,1.0,0.8038242217286079,-0.4029473829790673,-0.36872293776008613
EC50,0.524133872625402,-0.8018311617986718,-0.685250140901104,-0.42155676380554546,0.8038242217286079,1.0,-0.29479074749254797,-0.2616752338155983
mhw_peak_intensity,-0.22270026632045084,0.3961008585862953,0.34909997571620655,0.3577645620303331,-0.4029473829790673,-0.29479074749254797,1.0,0.9220041820388281
mhw_days,-0.19827025435074475,0.3610362435741731,0.3200189317186068,0.35840036534779457,-0.36872293776008613,-0.2616752338155983,0.9220041820388281,1.0
