,O2,CO2,Temperature,Salinity,pH,EC50,mhw_peak_intensity,mhw_days
O2,1.0,-0.7112199902008817,-0.8229394193232284,-0.19049169445717626,0.7736624994073114,0.1480962842376444,-0.12866927770166914,-0.08999411740160153
CO2,-0.7112199902008817,1.0,0.8718148914984747,0.1293546806593858,-0.9389831044238276,-0.16150843198305698,0.2363452781160969,0.2064288794574012
Temperature,-0.8229394193232284,0.8718148914984747,1.0,-0.012090847307613282,-0.8906734522925193,-0.24218362282878408,0.17112227042483377,0.12721990804725858
Salinity,-0.19049169445717626,0.1293546806593858,-0.012090847307613282,1.0,-0.07496325330720235,0.38412226770558383,0.1334119923126945,0.17614935986496574
pH,0.7736624994073114,-0.9389831044238276,-0.8906734522925193,-0.07496325330720235,1.0,0.19253370422468427,-0.27315472529986573,-0.2361824750351433
EC50,0.1480962842376444,-0.16150843198305698,-0.24218362282878408,0.38412226770558383,0.19253370422468427,1.0,0.14634051840325987,0.16406051490750634
mhw_peak_intensity,-0.12866927770166914,0.2363452781160969,0.17112227042483377,0.1334119923126945,-0.27315472529986573,0.14634051840325987,1.0,0.9091951656071607
mhw_days,-0.08999411740160153,0.2064288794574012,0.12721990804725858,0.17614935986496574,-0.2361824750351433,0.16406051490750634,0.9091951656071607,1.0
