variable,lag,spearman_r,p_value,n
O2,0,-0.16709599004390382,0.004902648101529041,282
O2,1,-0.1880940405329863,0.001538650566169612,281
O2,2,-0.1873677107537366,0.0016373380473295547,280
O2,3,-0.19208772479123276,0.0012633857520741934,279
O2,4,-0.17045891063666666,0.0043691642152252075,278
O2,5,-0.10431929425870669,0.08307799547161114,277
O2,6,-0.03376532636052343,0.576458507524225,276
O2,7,0.027369186078721044,0.6513526140655317,275
O2,8,0.0487639365087835,0.4214113994067854,274
O2,9,0.04273793232137914,0.4819137899159699,273
O2,10,0.014139711998572361,0.816432574937413,272
O2,11,-0.04462210929194097,0.46444838351581585,271
O2,12,-0.07107279293094947,0.2444648024046978,270
CO2,0,0.27458147942713557,2.9766823051315822e-06,281
CO2,1,0.2324015095484914,8.662083415125484e-05,280
CO2,2,0.20868923782758636,0.00045003143899374884,279
CO2,3,0.15670867767950236,0.00886354252282009,278
CO2,4,0.10256551178421454,0.08841712430459772,277
CO2,5,0.03544594810151898,0.5576174572846427,276
CO2,6,-0.013336857839491068,0.8257394240109647,275
CO2,7,-0.03955622518574938,0.5143793059100032,274
CO2,8,-0.016042013074375378,0.7918890788977115,273
CO2,9,0.037290234510864204,0.540281719476936,272
CO2,10,0.07646295780332683,0.20956643874948605,271
CO2,11,0.1280965526919286,0.03540025956718799,270
CO2,12,0.1568822469993471,0.009964612456601183,269
Temperature,0,0.2390790582921487,4.99287023315155e-05,282
Temperature,1,0.22365769602839497,0.00015652961730584937,281
Temperature,2,0.18867946831840843,0.0015158997193850596,280
Temperature,3,0.14391280823792452,0.016147658851862205,279
Temperature,4,0.08619781218612908,0.1517440632436727,278
Temperature,5,0.014203118409360116,0.8139526717569027,277
Temperature,6,-0.046960814479969096,0.43712355376060863,276
Temperature,7,-0.08428498631070587,0.16337101744973562,275
Temperature,8,-0.07680657196760596,0.2049995294399598,274
Temperature,9,-0.019987534329177315,0.7423327203229608,273
Temperature,10,0.03425273596566172,0.5737930614223887,272
Temperature,11,0.0843762722655859,0.1660343298233685,271
Temperature,12,0.11195084309373227,0.06624185623602971,270
Salinity,0,0.2706400977475272,4.007923176692568e-06,282
Salinity,1,0.2730247324254772,3.4028221988242343e-06,281
Salinity,2,0.2592197271633304,1.1154005921049521e-05,280
Salinity,3,0.22155488158020892,0.00019106312100769762,279
Salinity,4,0.19319016465640937,0.0012072585074756584,278
Salinity,5,0.1544260256181358,0.010053099315501772,277
Salinity,6,0.11428524140205033,0.05792705762587844,276
Salinity,7,0.1141978015522013,0.05858137261781149,275
Salinity,8,0.1148247718257017,0.057658926795639574,274
Salinity,9,0.10536836038610144,0.0822419276811191,273
Salinity,10,0.07312484972610223,0.22933958910374777,272
Salinity,11,0.07979128042461314,0.19034895255342646,271
Salinity,12,0.09156481407159828,0.1334235320603144,270
pH,0,-0.26734188986990703,5.298000072566753e-06,282
pH,1,-0.24151265389982737,4.2920731849828104e-05,281
pH,2,-0.2071913990474919,0.00048409591709123095,280
pH,3,-0.1657685138566284,0.005508668596276162,279
pH,4,-0.11339292338433007,0.05899728832486507,278
pH,5,-0.045295402292254074,0.4527476308844889,277
pH,6,0.012119321306452747,0.8411404897333391,276
pH,7,0.04216826508136596,0.48617449435243654,275
pH,8,0.021478440083425584,0.7233786649853267,274
pH,9,-0.025510809046559647,0.6747470082901778,273
pH,10,-0.07783663988546508,0.20063476508053538,272
pH,11,-0.12810936494030487,0.03504040802669113,271
pH,12,-0.1589935725806741,0.008868603716434519,270
EC50,0,-0.29969333658685193,0.00010170038296474792,163
EC50,1,-0.38475668776910177,3.9566076497732165e-07,163
EC50,2,-0.4303712982720089,1.090231974444698e-08,162
EC50,3,-0.361910744014082,2.390475445769778e-06,161
EC50,4,-0.29377891275879214,0.00016295289421189416,160
EC50,5,-0.23481346325058502,0.0028891395479789146,159
EC50,6,-0.2670670669734975,0.0006663987123124113,159
EC50,7,-0.32320186975099036,3.2479708409742365e-05,159
EC50,8,-0.37255931330115316,1.3249196041887488e-06,159
EC50,9,-0.3343530051396204,1.65189635402205e-05,159
EC50,10,-0.3257305730059737,2.7927170250743888e-05,159
EC50,11,-0.3044886662223273,9.530912723928235e-05,159
EC50,12,-0.3947458847747842,2.6196135194578336e-07,159
