Datetime,EC50,dose_18C_12m,dose_18C_24m,dose_18C_36m,dose_20C_12m,dose_20C_24m,dose_20C_36m
2003-02-01,28.97,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,39.77,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,55.44,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,24.15,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,66.94,1001.2320340000001,500.61601699999994,333.74401133333333,694.5772489999999,347.28862449999997,231.52574966666666
2004-02-01,44.4,1001.2320339999999,500.616017,333.74401133333333,694.5772489999999,347.2886245,231.52574966666668
2004-03-01,35.629999999999995,1001.2320339999999,500.61601699999994,333.74401133333333,694.5772489999999,347.28862449999997,231.52574966666666
2004-05-01,42.45,1001.232034,500.616017,333.74401133333333,694.5772489999999,347.28862449999997,231.52574966666666
2004-06-01,47.905,979.8920029999999,502.4590395,334.972693,693.8024349999998,347.2886245,231.52574966666668
2004-11-01,41.52,769.3664520000002,885.2992429999999,590.1994953333333,464.65275900000006,579.615004,386.4100026666666
2004-12-01,43.99,788.4439749999999,894.8380044999999,596.5586696666666,464.652759,579.615004,386.4100026666666
2005-01-01,43.59,788.443975,894.8380045,596.5586696666666,464.652759,579.615004,386.4100026666666
2005-02-01,50.07,788.4439749999999,894.8380045,596.5586696666667,464.65275899999995,579.615004,386.41000266666674
2005-04-01,61.43,788.4439749999999,894.8380045,596.5586696666666,464.652759,579.615004,386.4100026666666
2005-05-01,55.49,788.4439749999999,894.8380045000001,596.5586696666666,464.652759,579.615004,386.4100026666666
2005-10-01,57.53,874.6189399999998,808.1586144999999,852.3159806666665,529.262682,494.656302,553.8973516666666
2006-03-01,57.65,871.617729,830.0308519999999,887.0979126666668,522.7258489999999,493.689304,560.6519523333333
2006-04-01,53.65,871.6177289999998,830.0308519999999,887.0979126666668,522.7258489999999,493.689304,560.6519523333333
2006-05-01,63.28,871.617729,830.0308519999999,887.0979126666666,522.725849,493.689304,560.6519523333333
2006-06-01,15.89,871.4092860000001,840.2505054999999,886.7976713333335,520.204577,494.1906224999999,560.7278933333333
2006-10-01,52.15,809.2495839999999,841.934262,808.522271,469.44873600000005,499.35570899999993,486.25378
2007-02-01,37.2,835.892396,853.7550624999999,831.9847,488.74533999999994,505.7355945,492.04131599999994
2007-05-01,43.0,836.5098599999999,854.0637944999999,832.1905213333332,488.74533999999994,505.73559450000005,492.04131599999994
2008-01-01,39.88,745.4621,790.677248,817.6574083333334,414.843169,451.79425449999997,475.43811933333336
2008-03-01,36.14,745.4621,790.677248,817.6574083333334,414.843169,451.79425449999997,475.4381193333333
2008-06-01,47.18,704.092,784.0648799999999,813.179682,407.013427,451.29293600000005,474.263483
2008-07-01,52.76,699.630834,801.409547,803.00818,403.188713,463.679265,464.58770933333335
2008-09-01,35.38,795.0335519999999,809.9403369999999,816.4295926666666,498.59143100000006,472.210055,478.00912200000005
2008-12-01,52.76,845.4437209999999,795.4529104999999,808.9327389999999,519.5097509999999,467.17646,474.36608666666655
2009-01-01,41.005,845.4437210000001,795.4529104999999,808.9327389999999,519.509751,467.17646,474.36608666666666
2009-02-01,43.07,845.443721,795.4529104999999,808.9327390000002,519.5097509999999,467.17645999999996,474.3660866666667
2009-12-01,52.28,933.735021,889.589371,841.5469473333333,598.7479500000001,559.1288505,511.03362333333337
2010-02-01,54.04,933.735021,889.589371,841.5469473333333,598.7479500000001,559.1288505,511.03362333333337
2010-03-01,44.48,933.735021,889.589371,841.5469473333333,598.74795,559.1288505,511.03362333333337
2010-04-01,39.005,933.735021,889.589371,841.5469473333333,598.74795,559.1288505,511.03362333333325
2010-05-01,42.742,933.7350209999997,889.589371,841.341126,598.7479500000001,559.1288505,511.0336233333334
2010-06-01,56.24,913.0354990000001,891.368602,828.943068,589.8933260000001,559.1701355,508.45123266666667
2010-07-01,42.08,896.196099,892.2067139999999,828.0147539999999,573.000694,559.264655,507.23934099999997
2010-09-01,39.84,871.427443,883.7244034999999,854.1607863333334,548.232038,550.7823445000001,533.3853733333334
2010-10-01,43.505,846.3946950000001,878.0839995000001,859.2367073333332,523.19929,545.1419405,538.4612943333333
2010-11-01,44.04,814.9574849999999,877.859847,862.9050229999999,497.51722800000005,548.1325889999999,538.591643
2010-12-01,49.97,813.7159579999998,873.7254894999999,864.2982333333332,497.51722800000005,548.132589,538.5916429999999
2011-01-01,51.13,813.715958,873.7254895000001,864.2982333333332,497.51722800000005,548.132589,538.591643
2011-02-01,53.67,813.715958,873.7254895,864.2982333333332,497.51722799999993,548.132589,538.591643
2011-03-01,43.12,813.715958,873.7254895000001,864.2982333333332,497.51722800000005,548.1325889999999,538.591643
2011-04-01,44.06,813.715958,873.7254895,864.2982333333332,497.51722800000005,548.1325889999999,538.591643
2011-05-01,37.89,813.715958,873.7254894999999,864.2982333333332,497.51722799999993,548.132589,538.591643
2011-09-01,38.17,807.7625049999999,839.5949740000001,858.4037706666666,480.45909200000006,514.345565,527.3412603333333
2011-10-01,42.13,835.758167,841.076431,863.9753886666667,508.4547540000001,515.8270219999999,532.9128783333334
2011-11-01,46.38,835.4287080000001,825.1930965,863.716134,519.185941,508.35158450000006,538.4837063333333
2011-12-01,53.973333333333336,835.781503,824.7487305,861.0774940000001,519.1859410000001,508.35158450000006,538.4837063333333
2012-01-01,54.27,835.7815030000002,824.7487305,861.0774940000001,519.1859410000001,508.35158449999994,538.4837063333333
2012-02-01,51.805,835.781503,824.7487305,861.0774940000001,519.1859410000001,508.35158449999994,538.4837063333333
2012-03-01,43.625,835.7815030000002,824.7487305,861.0774940000001,519.185941,508.35158450000006,538.4837063333333
2012-04-01,40.975,835.781503,824.7487305,861.0774940000001,519.185941,508.35158450000006,538.4837063333333
2012-05-01,44.395,835.781503,824.7487305,861.0774940000001,519.1859410000001,508.35158449999994,538.4837063333334
2012-09-01,42.12,852.2328399999999,829.9976724999999,843.8075959999999,554.906246,517.682669,527.865792
2012-10-01,43.41,835.7606640000001,835.7594155,839.3045086666666,538.43407,523.444412,523.3627046666667
2013-01-01,51.85,879.77444,857.7779715000001,843.0906336666666,553.542945,536.364443,523.4153713333334
2013-02-01,54.53,879.7744399999999,857.7779714999999,843.0906336666667,553.5429449999999,536.3644429999999,523.4153713333334
2013-03-01,59.405,879.77444,857.7779715000001,843.0906336666667,553.542945,536.3644429999999,523.4153713333334
2013-04-01,51.43,879.77444,857.7779715,843.0906336666667,553.542945,536.3644429999999,523.4153713333334
2013-05-01,60.25,879.7744399999999,857.7779714999999,843.0906336666666,553.5429449999999,536.3644429999999,523.4153713333334
2013-09-01,55.56999999999999,771.134012,811.683426,810.3764523333334,464.619003,509.7626245,499.9947803333334
2013-10-01,51.535,762.99269,799.3766770000002,811.5038403333333,456.4776810000001,497.45587550000005,501.12216833333343
2013-11-01,49.05500000000001,749.465684,809.5357959999999,818.1667666666667,442.2689889999999,497.9059669999999,504.99929166666664
2013-12-01,48.125,762.1694,820.97192,825.9084476666667,444.399369,498.97115700000006,505.70941833333336
2014-01-01,47.694,762.1694,820.97192,825.9084476666667,444.399369,498.97115700000006,505.70941833333336
2014-02-01,46.75,762.1694,820.9719199999998,825.9084476666667,444.399369,498.97115699999995,505.70941833333325
2014-03-01,45.99,762.1694,820.97192,825.9084476666667,444.39936900000004,498.97115700000006,505.70941833333325
2014-04-01,49.75,762.1694,820.97192,825.9084476666667,444.39936900000004,498.97115700000006,505.70941833333336
2014-05-01,44.6625,762.1694,820.97192,825.9084476666667,444.39936900000004,498.97115699999995,505.70941833333325
2014-07-01,49.49,800.958433,816.5719039999999,814.9899613333334,460.19329799999997,492.931832,500.12104866666675
2014-08-01,46.81,805.330688,804.4195135,811.3909183333333,464.565553,480.77944149999996,496.5220056666667
2014-09-01,53.01666666666667,806.5563969999998,788.8452044999999,809.9744163333332,465.7912620000001,465.2051325000001,495.10550366666666
2014-11-01,52.15,854.9178980000002,802.191791,824.6631633333333,514.1527629999999,478.210876,503.32156566666663
2014-12-01,48.185,860.3528309999999,811.2611155,834.0988903333334,512.040705,478.220037,503.3276730000001
2015-01-01,47.79,861.7724990000002,811.9709495000001,834.572113,512.040705,478.220037,503.327673
2015-02-01,46.98,861.7724989999999,811.9709495,834.572113,512.040705,478.22003699999993,503.3276730000001
2015-03-01,46.195,861.7724989999999,811.9709495,834.572113,512.040705,478.22003700000005,503.3276730000001
2015-04-01,46.67,861.7724989999999,811.9709495,834.572113,512.040705,478.22003700000005,503.327673
2015-05-01,45.96666666666667,861.7724989999999,811.9709495,834.572113,512.040705,478.22003700000005,503.3276729999999
2015-06-01,46.75,869.380516,820.6796525,838.7679076666666,512.148405,478.27388700000006,503.363573
2015-07-01,48.27,911.90499,856.4317115000001,848.3495993333333,552.97213,506.582714,512.9452646666667
2015-09-01,48.45,1019.119569,912.8379829999999,865.603326,660.1867090000001,562.9889855000001,530.1989913333333
2015-11-01,46.4,946.7735029999999,900.8457005,850.3856949999999,598.334287,556.243525,518.2520130000001
2015-12-01,48.16,922.51552,891.4341755,848.345917,598.315965,555.1783350000001,518.252013
2016-01-01,44.605,921.0958519999999,891.4341755,848.3459170000001,598.315965,555.1783350000001,518.252013
2016-02-01,44.095,921.0958519999999,891.4341755,848.345917,598.315965,555.1783350000001,518.2520129999999
2016-03-01,42.945,921.0958519999999,891.4341755,848.345917,598.315965,555.1783350000001,518.2520129999999
2016-04-01,44.84,921.0958519999999,891.4341755,848.345917,598.3159649999999,555.178335,518.2520129999999
2016-05-01,41.4,921.0958519999999,891.4341755,848.345917,598.315965,555.1783350000001,518.2520129999999
2016-06-01,38.18,915.3322779999999,892.356397,852.2305276666666,598.208265,555.1783350000001,518.2520129999999
