threshold_C,is_primary_threshold,window_months,detrended_spearman_r,detrended_p,dose_coef_given_time,partial_p_dose_given_time,p_bonferroni,partial_p_bonferroni,bonferroni_survives
22.0,False,24,-0.14790853318460678,0.058747968790556625,-0.0017910678776589589,0.8881834818349785,0.29373984395278313,1.0,False
23.0,False,24,-0.17312040047338564,0.026634615362003598,-0.021719868794131528,0.15021257940141836,0.133173076810018,0.7510628970070918,False
24.0,True,24,-0.2442642797872485,0.0016211751782760615,-0.04787868554241215,0.006624673078549137,0.008105875891380308,0.033123365392745685,True
25.0,False,24,-0.31985091072327343,2.9802587039891568e-05,-0.07563360758620033,0.0009686661552532057,0.00014901293519945785,0.004843330776266029,True
26.0,False,24,-0.3215893787493368,2.6816351984893166e-05,-0.10592977729988624,0.005676810807519117,0.00013408175992446584,0.028384054037595585,True
