,O2,CO2,Temperature,Salinity,pH,EC50,mhw_peak_intensity,mhw_days
O2,0.0,6.918266727242846e-51,2.6492800628456e-62,1.2142906858727492e-07,9.660995162872066e-59,4.1356088413016176e-23,1.0817435753906667e-08,3.2839046316237016e-07
CO2,6.918266727242846e-51,0.0,1.3126014084349703e-113,3.81746272646555e-23,4.25669189296645e-203,2.3807993613313373e-67,4.510958162627404e-17,1.937093549450589e-16
Temperature,2.6492800628456e-62,1.3126014084349703e-113,0.0,5.96845845518043e-12,9.214686634574884e-118,7.82388214471387e-43,4.2842496235350587e-13,8.20042141848546e-12
Salinity,1.2142906858727492e-07,3.81746272646555e-23,5.96845845518043e-12,0.0,1.5562301846264987e-21,2.948797929749734e-13,5.8192306894639526e-12,3.0471702588827553e-12
pH,9.660995162872066e-59,4.25669189296645e-203,9.214686634574884e-118,1.5562301846264987e-21,0.0,5.241370123713489e-68,8.429506085717259e-18,7.232754160182578e-17
EC50,4.1356088413016176e-23,2.3807993613313373e-67,7.82388214471387e-43,2.948797929749734e-13,5.241370123713489e-68,0.0,2.920097612488887e-09,4.0243569616204986e-09
mhw_peak_intensity,1.0817435753906667e-08,4.510958162627404e-17,4.2842496235350587e-13,5.8192306894639526e-12,8.429506085717259e-18,2.920097612488887e-09,0.0,1.1520934605197083e-107
mhw_days,3.2839046316237016e-07,1.937093549450589e-16,8.20042141848546e-12,3.0471702588827553e-12,7.232754160182578e-17,4.0243569616204986e-09,1.1520934605197083e-107,0.0
