Datetime,EC50_forecast,CI_lower,CI_upper,scenario,pH_proj,Temp_proj,mhw_proj
2026-10-01,15.990809919881537,8.43059440762011,23.551025432142964,mean,8.05217467198409,21.09179773128653,2.6742901373958357
2026-11-01,18.768714211922102,11.189645294393191,26.347783129451013,mean,8.08199967198409,18.712212731286527,2.1441014508939413
2026-12-01,19.581548445648775,11.983626122852378,27.17947076844517,mean,8.115330671984088,16.377545731286528,1.611578093903411
2027-01-01,20.841701239117256,13.224925511053375,28.458476967181138,mean,8.128837171984088,14.923539231286528,1.2209732025606241
2027-02-01,22.26697588094987,14.631346747618505,29.90260501428124,mean,8.136309187425983,14.356115407372954,1.0790547369128802
2027-03-01,22.473774187192806,14.819291648593955,30.12825672579166,mean,8.131240408434286,14.761608189965731,1.22626811660992
2027-04-01,23.878384161497408,16.20504821763107,31.551720105363746,mean,8.126837294115438,16.292685574914458,1.6255861168352297
2027-05-01,22.30203445669479,14.60984510756097,29.99422380582861,mean,8.0691714692253,18.75753695430899,2.172117496757579
2027-06-01,21.541332197189593,13.830289442788288,29.252374951590898,mean,8.016814749254596,23.116837567712313,2.720983547168565
2027-07-01,20.66767808487272,12.937781925203929,28.39757424454151,mean,7.957607309831989,27.182547635461333,3.126054412715738
2027-08-01,20.354067298281393,12.605317733345117,28.10281686321767,mean,7.957607309831991,27.182547635461333,3.2791882795340968
2027-09-01,19.982407938893715,12.214804968689954,27.750010909097476,mean,7.957607309831991,27.182547635461336,3.139436862575534
2027-10-01,21.082648335076385,13.29619195960514,28.86910471054763,mean,8.050463343968179,21.164865462573058,2.744330252054929
2027-11-01,22.107973677908337,14.302663897169609,29.913283458647065,mean,8.080288343968178,18.785280462573056,2.200133542621216
2027-12-01,22.594208517527676,14.77004533152146,30.418371703533893,mean,8.113619343968177,16.45061346257306,1.653602162698867
2028-01-01,23.109989565378886,15.266972974105187,30.953006156652584,mean,8.127125843968178,14.996606962573056,1.252742686856399
2028-02-01,23.560729640934902,15.698859644393718,31.422599637476086,mean,8.134597859410073,14.429183138659482,1.1070707827765176
2028-03-01,23.50261680983988,15.621893408031209,31.383340211648548,mean,8.129529080418374,14.83467592125226,1.258037600905695
2028-04-01,23.683254655649694,15.78367784857354,31.58283146272585,mean,8.125125966099526,16.365753306200986,1.6676101856306857
2028-05-01,22.78660178564122,14.86817157329758,30.70503199798486,mean,8.067460141209388,18.830604685595517,2.228149588484854
2028-06-01,22.091096932816736,14.153813315205612,30.028380550427862,mean,8.015103421238686,23.18990529899884,2.7910236618276585
2028-07-01,21.41133230300501,13.455195280126404,29.36746932588362,mean,7.955895981816079,27.25561536674786,3.2063491118745127
2028-08-01,21.25338283612358,13.278392407977487,29.228373264269678,mean,7.955895981816079,27.25561536674786,3.363236417125009
2028-09-01,21.187236638819417,13.19339280540584,29.181080472232996,mean,7.955895981816079,27.255615366747865,3.2197315617343087
2028-10-01,22.04920540486744,14.036508166186376,30.061902643548503,mean,8.048752015952267,21.237933193859586,2.8143703667140048
2028-11-01,22.685883041546944,14.654332397598397,30.717433685495493,mean,8.078577015952268,18.858348193859587,2.256165634348491
2028-12-01,23.17303476986248,15.122630720646447,31.22343881907851,mean,8.111908015952267,16.523681193859588,1.6956262314943231
2029-01-01,23.543195818994345,15.473938364510827,31.61245327347786,mean,8.125414515952267,15.069674693859584,1.2845121711521656
2029-02-01,23.76142485060114,15.673313990850138,31.849535710352143,mean,8.132886531394162,14.502250869946014,1.135086828640155
2029-03-01,23.66395174119128,15.556987476172793,31.770916006209767,mean,8.127817752402462,14.907743652538787,1.2898070852014698
2029-04-01,23.511318525246267,15.385500854960295,31.63713619553224,mean,8.123414638083617,16.438821037487514,1.7096342544261312
2029-05-01,22.832355864872856,14.687684789319398,30.977026940426313,mean,8.065748813193478,18.90367241688205,2.2841816802121286
2029-06-01,22.16834817346138,14.004823692640436,30.33187265428232,mean,8.013392093222775,23.26297303028537,2.861063776486752
2029-07-01,21.555028411703162,13.372650525614736,29.737406297791587,mean,7.9541846538001675,27.32868309803439,3.286643811033267
2029-08-01,21.451388235682803,13.250156944326891,29.652619527038716,mean,7.9541846538001675,27.328683098034393,3.447284554715921
2029-09-01,21.483831030664742,13.263746334041345,29.70391572728814,mean,7.954184653800169,27.328683098034393,3.3000262608930835
2029-10-01,22.28499529219572,14.046057190304838,30.523933394086605,mean,8.047040687936358,21.311000925146114,2.884410481373098
2029-11-01,22.816603521615583,14.558812014457217,31.07439502877395,mean,8.076865687936357,18.931415925146116,2.3121977260757656
2029-12-01,23.312164711063545,15.035519798637694,31.588809623489396,mean,8.110196687936355,16.596748925146116,1.7376503002897792
2030-01-01,23.645556038190993,15.350057720497656,31.94105435588433,mean,8.123703187936355,15.142742425146112,1.3162816554479404
