Datetime,pH,Temperature,mhw_lagged
2026-10-01,8.104312073884822,17.38528488749875,5.348580274791671
2026-11-01,8.134065768550824,15.008744376302351,4.288202901787883
2026-12-01,8.167325463216827,12.677121865105956,3.223156187806822
2027-01-01,8.18076065788283,11.226159853909563,2.4419464051212483
2027-02-01,8.188161367990729,10.661780518799592,2.1581094738257605
2027-03-01,8.183021283665036,11.070317790195979,2.45253623321984
2027-04-01,8.178546864012192,12.604439663948309,3.2511722336704594
2027-05-01,8.120809733788057,15.072335532146443,4.344234993515158
2027-06-01,8.068381708483358,19.434680634353377,5.44196709433713
2027-07-01,8.009102963726754,23.503435190906,6.252108825431476
2027-08-01,8.009031658392761,23.506479679709603,6.5583765590681935
2027-09-01,8.008960353058765,23.509524168513217,6.278873725151068
2027-10-01,8.101745081860956,17.49488648442854,5.488660504109858
2027-11-01,8.131498776526959,15.118345973232142,4.400267085242432
2027-12-01,8.164758471192961,12.786723462035756,3.307204325397734
2028-01-01,8.178193665858966,11.335761450839355,2.505485373712798
2028-02-01,8.185594375966865,10.771382115729384,2.214141565553035
2028-03-01,8.180454291641169,11.179919387125771,2.51607520181139
2028-04-01,8.175979871988325,12.714041260878101,3.3352203712613715
2028-05-01,8.11824274176419,15.181937129076235,4.456299176969708
2028-06-01,8.065814716459492,19.54428223128317,5.582047323655317
2028-07-01,8.006535971702888,23.613036787835792,6.412698223749025
2028-08-01,8.006464666368892,23.616081276639395,6.726472834250018
2028-09-01,8.006393361034895,23.61912576544301,6.4394631234686175
2028-10-01,8.099178089837087,17.604488081358333,5.6287407334280095
2028-11-01,8.128931784503093,15.227947570161941,4.512331268696982
2028-12-01,8.162191479169095,12.896325058965548,3.3912524629886462
2029-01-01,8.1756266738351,11.445363047769147,2.5690243423043313
2029-02-01,8.183027383942997,10.880983712659184,2.27017365728031
2029-03-01,8.177887299617302,11.289520984055564,2.5796141704029396
2029-04-01,8.173412879964461,12.823642857807894,3.4192685088522623
2029-05-01,8.115675749740326,15.291538726006035,4.568363360424257
2029-06-01,8.063247724435627,19.65388382821296,5.722127552973504
2029-07-01,8.003968979679023,23.722638384765585,6.573287622066534
2029-08-01,8.003897674345026,23.725682873569195,6.894569109431842
2029-09-01,8.003826369011032,23.7287273623728,6.600052521786167
2029-10-01,8.096611097813224,17.714089678288126,5.768820962746196
2029-11-01,8.126364792479226,15.337549167091733,4.624395452151531
2029-12-01,8.159624487145228,13.00592665589534,3.4753006005795584
2030-01-01,8.173059681811232,11.55496464469894,2.632563310895881
2030-02-01,8.18046039191913,10.990585309588976,2.3262057490075847
2030-03-01,8.175320307593436,11.399122580985356,2.643153138994489
2030-04-01,8.170845887940592,12.933244454737686,3.5033166464431744
2030-05-01,8.113108757716457,15.401140322935827,4.680427543878807
2030-06-01,8.060680732411758,19.763485425142754,5.862207782291691
2030-07-01,8.001401987655154,23.832239981695377,6.733877020384083
2030-08-01,8.00133068232116,23.835284470498987,7.062665384613666
2030-09-01,8.001259376987164,23.838328959302594,6.760641920103676
2030-10-01,8.094044105789356,17.823691275217918,5.908901192064383
2030-11-01,8.123797800455359,15.447150764021526,4.736459635606081
2030-12-01,8.15705749512136,13.115528252825133,3.559348738170449
2031-01-01,8.170492689787368,11.664566241628732,2.6961022794874308
2031-02-01,8.177893399895266,11.100186906518768,2.3822378407348594
2031-03-01,8.17275331556957,11.508724177915148,2.7066921075860226
2031-04-01,8.168278895916727,13.042846051667482,3.5873647840340865
2031-05-01,8.110541765692592,15.51074191986562,4.792491727333356
2031-06-01,8.058113740387894,19.873087022072546,6.002288011609842
2031-07-01,7.99883499563129,23.941841578625173,6.894466418701632
2031-08-01,7.998763690297293,23.94488606742878,7.2307616597954905
2031-09-01,7.998692384963297,23.947930556232386,6.921231318421225
2031-10-01,8.091477113765489,17.933292872147714,6.04898142138257
2031-11-01,8.121230808431493,15.556752360951318,4.84852381906063
2031-12-01,8.154490503097495,13.225129849754925,3.6433968757613613
2032-01-01,8.167925697763499,11.774167838558528,2.7596412480789803
2032-02-01,8.175326407871397,11.20978850344856,2.438269932462134
2032-03-01,8.170186323545702,11.61832577484494,2.7702310761775726
2032-04-01,8.165711903892861,13.152447648597274,3.6714129216249987
2032-05-01,8.107974773668726,15.620343516795412,4.904555910787906
2032-06-01,8.055546748364026,19.982688619002342,6.142368240928029
2032-07-01,7.9962680036074225,24.051443175554965,7.0550558170191815
2032-08-01,7.996196698273426,24.05448766435857,7.398857934977315
2032-09-01,7.996125392939433,24.05753215316218,7.081820716738775
2032-10-01,8.088910121741625,18.042894469077506,6.189061650700757
2032-11-01,8.118663816407627,15.66635395788111,4.960588002515151
2032-12-01,8.15192351107363,13.33473144668472,3.7274450133522734
2033-01-01,8.165358705739633,11.88376943548832,2.82318021667053
