Datetime,stress_pc1
2003-01-01,-1.2968087341460963
2003-02-01,-2.6756372093479905
2003-03-01,-1.4263569726144285
2003-04-01,-1.9103770464535392
2003-05-01,-0.22302973981043506
2003-06-01,1.0599504351307039
2003-07-01,2.3179496593178976
2003-08-01,1.4423373108991426
2003-09-01,-0.9362059830479372
2003-10-01,-2.711878630731937
2003-11-01,-3.4817602316967804
2003-12-01,-2.0065922834175027
2004-01-01,-1.807531279672575
2004-02-01,-1.4107309150752694
2004-03-01,-1.9609145737747524
2004-04-01,-2.293056496214
2004-05-01,-3.3622316258405367
2004-06-01,-4.626933277633234
2004-07-01,-3.271736871124978
2004-08-01,-1.6931137288119364
2004-09-01,-1.6870464128632439
2004-10-01,-0.9165855133882606
2004-11-01,-0.7695710085969382
2004-12-01,-0.5849576120506108
2005-01-01,-0.6805982846171713
2005-02-01,-2.2477551641129168
2005-03-01,-1.7853016191144273
2005-04-01,-0.9352553961177311
2005-05-01,0.018392845610355372
2005-06-01,0.006487589797218362
2005-07-01,-1.9565089628705565
2005-08-01,-1.0912689380563574
2005-09-01,-0.9829988359165971
2005-10-01,-1.1531481568806927
2005-11-01,-0.2862414598012156
2005-12-01,-2.1806235602106026
2006-01-01,-2.532740126601307
2006-02-01,-2.274021082171483
2006-03-01,-2.495686862314369
2006-04-01,-1.299136705407172
2006-05-01,0.6626834328150961
2006-06-01,-2.2164618332603845
2006-07-01,0.23671163159920816
2006-08-01,-0.8849227778042509
2006-09-01,-1.783838755313259
2006-10-01,0.16642304531011065
2006-11-01,1.1100610831412634
2006-12-01,1.4696902887751162
2007-01-01,1.2605032021562141
2007-02-01,1.8714443324141525
2007-03-01,1.1160499716126724
2007-04-01,1.441433434637305
2007-05-01,2.214980912523009
2007-06-01,-0.13634071740413609
2007-07-01,-1.7481438267515852
2007-08-01,-3.121766180780557
2007-09-01,-2.4201159091883846
2007-10-01,-2.2708047613656097
2007-11-01,-3.1759989154276806
2007-12-01,-2.2625039792995625
2008-01-01,-1.7521908537365807
2008-02-01,-0.9665689563246838
2008-03-01,-1.1932046322299963
2008-04-01,-1.1823703096123288
2008-05-01,-0.6273821376146949
2008-06-01,-1.189714833792317
2008-07-01,-1.53860576698375
2008-08-01,-0.44285913611798694
2008-09-01,-0.7467887990291701
2008-10-01,-1.4219533438026823
2008-11-01,-0.6049624245281701
2008-12-01,-1.2079947785267529
2009-01-01,-1.496314911356051
2009-02-01,-0.9907916148883427
2009-03-01,-0.806624195435986
2009-04-01,-0.9724824473300364
2009-05-01,0.4405415854420989
2009-06-01,0.006876424773971227
2009-07-01,-2.1119007665212135
2009-08-01,-0.2557190500299207
2009-09-01,0.14708173231187516
2009-10-01,0.08124461077125697
2009-11-01,-1.5737844199301017
2009-12-01,-1.3497101052963063
2010-01-01,-2.427577169419806
2010-02-01,-1.6504739173897347
2010-03-01,-1.7419771132027024
2010-04-01,-1.1295163138431101
2010-05-01,-1.6084798611041153
2010-06-01,-1.540422661802242
2010-07-01,-1.946856180567029
2010-08-01,-3.263492313285135
2010-09-01,-1.553380246799061
2010-10-01,-0.9022321104767083
2010-11-01,-1.5864402416975176
2010-12-01,-1.906608115388355
2011-01-01,-2.2402642673214372
2011-02-01,-2.8058329134438376
2011-03-01,-2.318215260646692
2011-04-01,-0.37523196603867304
2011-05-01,-1.2442831201894387
2011-06-01,-1.9041639062916988
2011-07-01,-1.0438590534623764
2011-08-01,-1.3912403004412721
2011-09-01,0.15019225903363606
2011-10-01,-1.6401910655178846
2011-11-01,-1.2928025369264444
2011-12-01,0.3824696868195385
2012-01-01,0.28951018799615397
2012-02-01,-1.4362985221963287
2012-03-01,-1.2130727115461288
2012-04-01,-0.08821350698172865
2012-05-01,-2.5759590000682944
2012-06-01,-1.1585400089255353
2012-07-01,-2.083197875416607
2012-08-01,0.5087193885778015
2012-09-01,0.08924793933043805
2012-10-01,0.8649384117937359
2012-11-01,-0.13620062733240904
2012-12-01,-1.1129483367407618
2013-01-01,-1.0692449356810643
2013-02-01,-1.210031635385115
2013-03-01,-0.47119071042078076
2013-04-01,-0.23365488912447574
2013-05-01,-1.348253767884004
2013-06-01,-2.9389653131699194
2013-07-01,-4.711040664583137
2013-08-01,-2.0569731637334407
2013-09-01,-0.6462610256996236
2013-10-01,0.1684016306193045
2013-11-01,0.8856399879828956
2013-12-01,-0.2006449329452221
2014-01-01,0.7749415660305602
2014-02-01,1.1760348963175717
2014-03-01,0.7683660890861155
2014-04-01,0.4253576979854148
2014-05-01,-1.1614037234439252
2014-06-01,-2.819824961360727
2014-07-01,-1.9331303127485444
2014-08-01,-1.793524181282577
2014-09-01,-0.7323140002749896
2014-10-01,1.7004093968508232
2014-11-01,1.201202167173703
2014-12-01,2.5550543750564607
2015-01-01,2.4891347584036474
2015-02-01,1.095512459734273
2015-03-01,-1.0702314260654013
2015-04-01,-3.841445223974322
2015-05-01,-2.5180192977067617
2015-06-01,-1.059034763661214
2015-07-01,-0.11507804580154071
2015-08-01,-0.20582843272099868
2015-09-01,-0.3739083018741257
2015-10-01,-1.7147587762862186
2015-11-01,-0.4985214967944464
2015-12-01,0.7608884903397988
2016-01-01,0.6031664710731539
2016-02-01,1.1686266686944722
2016-03-01,0.7627276663638047
2016-04-01,1.3004159960326105
2016-05-01,-1.4703954953322251
2016-06-01,-2.635530657612404
2016-07-01,-2.4044084823973475
2016-08-01,-3.5388307872067215
2016-09-01,-0.5787046947891955
2016-10-01,0.6047155338761476
2016-11-01,0.680512154666649
2016-12-01,0.879333790822818
2017-01-01,-0.33860260279749926
2017-02-01,1.2247173031294485
2017-03-01,1.4454945611382026
2017-04-01,2.145374196412016
2017-05-01,-0.6041503245857455
2017-06-01,2.178029337755158
2017-07-01,2.426235671757214
2017-08-01,2.2890542135234995
2017-09-01,-0.6125303330868207
2017-10-01,-0.4063782476859222
2017-11-01,-1.0797263893729265
2017-12-01,-1.1353701830312184
2018-01-01,-0.2927241403543226
2018-02-01,0.275192550483321
2018-03-01,0.10615086377141306
2018-04-01,0.727437437566492
2018-05-01,1.1477536554192163
2018-06-01,-5.134781238097438
2018-07-01,-1.8636217078709971
2018-08-01,0.9772451695742135
2018-09-01,0.8760003360296821
2018-10-01,1.1898860896960792
2018-11-01,1.4842962345855377
2018-12-01,1.1985884314547839
2019-01-01,0.845041071730318
2019-02-01,0.745679707938643
2019-03-01,0.3337705366048638
2019-04-01,0.21459294122310074
2019-05-01,-1.36603649699675
2019-06-01,-0.3299530065917875
2019-07-01,2.0396557467274135
2019-08-01,1.4022442220382982
2019-09-01,0.0532520784650292
2019-10-01,1.5104326326291777
2019-11-01,1.2363727776720954
2019-12-01,0.9911408998442051
2020-01-01,1.5480601157813774
2020-02-01,1.3673973413487321
2020-03-01,0.9494485049604744
2020-04-01,-1.1871689771496878
2020-05-01,2.462782829077329
2020-06-01,2.216039371036268
2020-07-01,-0.946168308686491
2020-08-01,0.8593136773985702
2020-09-01,1.8135720716816093
2020-10-01,-0.5815342834284851
2020-11-01,-0.5991602934375088
2020-12-01,-0.5234205372122834
2021-01-01,-0.5203710699330311
2021-02-01,-0.07015514130114192
2021-03-01,0.7064335707776608
2021-04-01,0.5926904653457132
2021-05-01,-0.7214463328239329
2021-06-01,2.9023415414130245
2021-08-01,1.9406955346634926
2021-09-01,1.5821438542109647
2021-10-01,-0.04045670077020965
2021-11-01,-0.12197633363709957
2021-12-01,0.43564673354092803
2022-01-01,0.6073742589827367
2022-02-01,0.4652306572568197
2022-03-01,-0.4367895513431329
2022-04-01,0.07430126454262122
2022-05-01,2.6344268411425604
2022-06-01,6.703317849997585
2022-07-01,4.244692212895333
2022-08-01,1.8296801259525948
2022-09-01,2.847342346259546
2022-10-01,2.5043861331205566
2022-11-01,3.179348692113824
2022-12-01,1.5685141779399596
2023-01-01,2.2420052476062353
2023-02-01,0.4953515764575281
2023-03-01,1.9282250278398598
2023-04-01,1.5072387072697389
2023-05-01,0.800009230680143
2023-06-01,3.483819325629107
2023-07-01,5.1083850546085925
2023-08-01,1.7789754708854044
2023-09-01,1.524407778969175
2023-10-01,3.698956972756628
2023-11-01,2.443348593704636
2023-12-01,1.8997315960204246
2024-01-01,2.2699812580087717
2024-02-01,3.0233966393884235
2024-03-01,3.1027705976467397
2024-04-01,3.3283247675593977
2024-05-01,2.4836301347762846
2024-06-01,3.1903667945517395
2024-07-01,2.405820810760239
2024-08-01,4.632844491992112
2024-09-01,1.9841224001070898
2024-10-01,1.0640976555519135
2024-11-01,1.9896193526769417
2024-12-01,1.360347877273023
2025-01-01,1.5439775981406172
2025-02-01,2.3692623740514946
2025-03-01,2.740888850307448
2025-04-01,2.581359325759776
2025-05-01,3.1846950169941426
2025-06-01,3.3255216064597244
2025-07-01,3.669683764245191
2025-08-01,2.0784293847658426
2025-09-01,1.9867305014842096
2025-10-01,0.20602947735800095
2025-11-01,0.9967453354609008
2025-12-01,0.9699680762314729
2026-01-01,1.9812726397272464
2026-02-01,2.460450564422986
2026-03-01,2.959239388599861
2026-04-01,1.10938304391266
2026-05-01,2.781174438920813
2026-06-01,2.617916903058572
2026-07-01,5.225122273875035
