lag,coef,se,cumul,n_obs
0,0.05458471913714469,0.8677173106110597,0.05458471913714469,164
1,-0.9081317046243216,0.9036942016122712,-0.8535469854871769,164
2,-0.18859335095755192,0.9363463956982946,-1.0421403364447288,164
3,-1.5682534878716794,0.9248060451009581,-2.610393824316408,164
4,2.083616446301642,1.3249748327484627,-0.5267773780147662,164
5,0.7011160793403555,1.0134710701370022,0.17433870132558926,164
6,0.5760326205710626,0.9385573015058587,0.7503713218966519,164
7,-2.143551024796991,1.0595660721672302,-1.3931797029003392,164
8,-0.02601786641616055,1.0723390670152333,-1.4191975693164998,164
9,-0.5104622671503023,1.0773979353167087,-1.929659836466802,164
10,-1.7247900135697956,1.251310812006645,-3.6544498500365976,164
11,-0.21787567939060049,0.9000183555692699,-3.872325529427198,164
12,-0.7722077180268414,1.0828627090065086,-4.6445332474540395,164
