lag,intensity
0,0
0,0.09445698307210036
0,0.18891396614420072
0,0.28337094921630107
0,0.37782793228840145
0,0.4722849153605018
0,0.5667418984326021
0,0.6611988815047025
0,0.7556558645768029
0,0.8501128476489033
0,0.9445698307210036
0,1.039026813793104
0,1.1334837968652043
0,1.2279407799373048
0,1.322397763009405
0,1.4168547460815055
0,1.5113117291536058
0,1.605768712225706
0,1.7002256952978065
0,1.7946826783699068
0,1.8891396614420073
0,1.9835966445141076
0,2.078053627586208
0,2.1725106106583083
0,2.2669675937304086
0,2.361424576802509
0,2.4558815598746095
0,2.55033854294671
0,2.64479552601881
0,2.7392525090909103
3,0
3,0.09445698307210036
3,0.18891396614420072
3,0.28337094921630107
3,0.37782793228840145
3,0.4722849153605018
3,0.5667418984326021
3,0.6611988815047025
3,0.7556558645768029
3,0.8501128476489033
3,0.9445698307210036
3,1.039026813793104
3,1.1334837968652043
3,1.2279407799373048
3,1.322397763009405
3,1.4168547460815055
3,1.5113117291536058
3,1.605768712225706
3,1.7002256952978065
3,1.7946826783699068
3,1.8891396614420073
3,1.9835966445141076
3,2.078053627586208
3,2.1725106106583083
3,2.2669675937304086
3,2.361424576802509
3,2.4558815598746095
3,2.55033854294671
3,2.64479552601881
3,2.7392525090909103
6,0
6,0.09445698307210036
6,0.18891396614420072
6,0.28337094921630107
6,0.37782793228840145
6,0.4722849153605018
6,0.5667418984326021
6,0.6611988815047025
6,0.7556558645768029
6,0.8501128476489033
6,0.9445698307210036
6,1.039026813793104
6,1.1334837968652043
6,1.2279407799373048
6,1.322397763009405
6,1.4168547460815055
6,1.5113117291536058
6,1.605768712225706
6,1.7002256952978065
6,1.7946826783699068
6,1.8891396614420073
6,1.9835966445141076
6,2.078053627586208
6,2.1725106106583083
6,2.2669675937304086
6,2.361424576802509
6,2.4558815598746095
6,2.55033854294671
6,2.64479552601881
6,2.7392525090909103
9,0
9,0.09445698307210036
9,0.18891396614420072
9,0.28337094921630107
9,0.37782793228840145
9,0.4722849153605018
9,0.5667418984326021
9,0.6611988815047025
9,0.7556558645768029
9,0.8501128476489033
9,0.9445698307210036
9,1.039026813793104
9,1.1334837968652043
9,1.2279407799373048
9,1.322397763009405
9,1.4168547460815055
9,1.5113117291536058
9,1.605768712225706
9,1.7002256952978065
9,1.7946826783699068
9,1.8891396614420073
9,1.9835966445141076
9,2.078053627586208
9,2.1725106106583083
9,2.2669675937304086
9,2.361424576802509
9,2.4558815598746095
9,2.55033854294671
9,2.64479552601881
9,2.7392525090909103
12,0
12,0.09445698307210036
12,0.18891396614420072
12,0.28337094921630107
12,0.37782793228840145
12,0.4722849153605018
12,0.5667418984326021
12,0.6611988815047025
12,0.7556558645768029
12,0.8501128476489033
12,0.9445698307210036
12,1.039026813793104
12,1.1334837968652043
12,1.2279407799373048
12,1.322397763009405
12,1.4168547460815055
12,1.5113117291536058
12,1.605768712225706
12,1.7002256952978065
12,1.7946826783699068
12,1.8891396614420073
12,1.9835966445141076
12,2.078053627586208
12,2.1725106106583083
12,2.2669675937304086
12,2.361424576802509
12,2.4558815598746095
12,2.55033854294671
12,2.64479552601881
12,2.7392525090909103
