intensity,lag,fit,low,high
0,0,0,0,0
0.09445698307210036,0,0.3966438228394557,-2.4329951995026886,3.2262828451816
0.18891396614420072,0,0.04546301436530287,-2.3175688692219727,2.4084948979525787
0.28337094921630107,0,-0.3801919685531623,-2.3908023417409643,1.63041840463464
0.37782793228840145,0,-0.6703269578141595,-2.7373737125336044,1.3967197969052856
0.4722849153605018,0,-0.8552613750856465,-2.883804624614315,1.1732818744430218
0.5667418984326021,0,-0.9670616293582978,-2.8548588039528306,0.9207355452362352
0.6611988815047025,0,-1.037794122614798,-2.8179390427985673,0.7423507975689714
0.7556558645768029,0,-1.0940758556314758,-2.8705989199133386,0.6824472086503872
0.8501128476489033,0,-1.141433336328023,-2.9804549814708894,0.6975883088148438
0.9445698307210036,0,-1.1802915291006353,-3.1040655540251905,0.7434824958239197
1.039026813793104,0,-1.2110753983455103,-3.214459506333654,0.7923087096426331
1.1334837968652043,0,-1.2342099084588443,-3.2984814980771198,0.8300616811594315
1.2279407799373048,0,-1.250120023836834,-3.3524552366165565,0.8522151889428888
1.322397763009405,0,-1.2592307088756762,-3.3792000926130994,0.8607386748617467
1.4168547460815055,0,-1.2619669279715682,-3.3864205831930567,0.8624867272499204
1.5113117291536058,0,-1.2587536455207056,-3.385835064185323,0.8683277731439121
1.605768712225706,0,-1.250015825919286,-3.392346190850972,0.8923145390124001
1.7002256952978065,0,-1.2361784335635055,-3.422577535815747,0.950220668688736
1.7946826783699068,0,-1.217666432849561,-3.492405694456851,1.057072828757729
1.8891396614420073,0,-1.1949047881736496,-3.6139629408099205,1.2241533644626212
1.9835966445141076,0,-1.1683184639319681,-3.7934794990360765,1.4568425711721402
2.078053627586208,0,-1.1383324245207125,-4.031110603433904,1.7544457543924783
2.1725106106583083,0,-1.10537163433608,-4.3225113780831546,2.111768109410995
2.2669675937304086,0,-1.0698610577742669,-4.660937289972665,2.521215174424132
2.361424576802509,0,-1.0322256592314707,-5.038887331515171,2.9744360130522294
2.4558815598746095,0,-0.9928904031038872,-5.449029592429227,3.4632487862214525
2.55033854294671,0,-0.9522802537877137,-5.884580135300017,3.98001962772459
2.64479552601881,0,-0.910820175679147,-6.339379350537311,4.517738999179017
2.7392525090909103,0,-0.8689351331743834,-6.807837464315502,5.069967197966736
0,1,0,0,0
0.09445698307210036,1,1.0720179436405113,-0.5947931830823383,2.738829070363361
0.18891396614420072,1,0.6889127983966956,-0.6706567568556299,2.048482353649021
0.28337094921630107,1,0.10723237891236492,-1.018653572137394,1.2331183299621236
0.37782793228840145,1,-0.27385675074648796,-1.4229136558853346,0.8752001543923587
0.4722849153605018,1,-0.5004040495308401,-1.6170116555578105,0.6162035564961305
0.5667418984326021,1,-0.6216955255557249,-1.650206292503603,0.40681524139215297
0.6611988815047025,1,-0.6870171760929527,-1.6602255953415965,0.2861912431556912
0.7556558645768029,1,-0.7372233249657026,-1.725747977805287,0.2513013278738818
0.8501128476489033,1,-0.7805356925415015,-1.8224455575345764,0.26137417245157346
0.9445698307210036,1,-0.8172825541202038,-1.919555569803463,0.2849904615630554
1.039026813793104,1,-0.8477921850016641,-2.0001260365461153,0.3045416665427869
1.1334837968652043,1,-0.8723928604857375,-2.057143926006137,0.31235820503466194
1.2279407799373048,1,-0.891412855872279,-2.0898586937758,0.30703298203124174
1.322397763009405,1,-0.905180446461143,-2.101800690276013,0.2914397973537268
1.4168547460815055,1,-0.914023907552185,-2.0999881188715084,0.2719403037671384
1.5113117291536058,1,-0.9182715144452589,-2.0946470710591543,0.2581040421686367
1.605768712225706,1,-0.9182515424402207,-2.0987080977241335,0.26220501284369213
1.7002256952978065,1,-0.914292266836924,-2.126246283629346,0.2976617499554981
1.7946826783699068,1,-0.9067219629352241,-2.189537877847857,0.3760939519774089
1.8891396614420073,1,-0.8958689060349763,-2.2959321484749964,0.5041943364050441
1.9835966445141076,1,-0.882061371436035,-2.4466955977974454,0.6825728549253753
2.078053627586208,1,-0.8656276344382551,-2.638425975659976,0.9071707067834659
2.1725106106583083,1,-0.8468959703414913,-2.8654661598318727,1.1716742191488903
2.2669675937304086,1,-0.8261946544455983,-3.1217332468301295,1.469343937938933
2.361424576802509,1,-0.8038519620504315,-3.4015929316637847,1.7938890075629215
2.4558815598746095,1,-0.7801961684558454,-3.700098803644704,2.139706466733013
2.55033854294671,1,-0.7555555489616949,-4.012950335383773,2.5018392374603833
2.64479552601881,1,-0.7302583788678346,-4.336368694176935,2.8758519364412654
2.7392525090909103,1,-0.7046329334741193,-4.666971780617422,3.2577059136691826
0,2,0,0,0
0.09445698307210036,2,1.5009366377911255,0.03228751705809252,2.9695857585241585
0.18891396614420072,2,1.107778302216209,-0.10276057281083828,2.3183171772432565
0.28337094921630107,2,0.4344887325771091,-0.5879219715397583,1.4568994366939767
0.37782793228840145,2,-0.0027607169711728052,-1.0434441028561516,1.0379226689138061
0.4722849153605018,2,-0.25809430510970494,-1.2581051937448733,0.7419165835254635
0.5667418984326021,2,-0.38978212016980457,-1.2992073699043236,0.5196431295647144
0.6611988815047025,2,-0.45609423765499724,-1.3097990220329798,0.39761054672298535
0.7556558645768029,2,-0.5053258627387683,-1.373130197803611,0.36247847232607433
0.8501128476489033,2,-0.5471670541803222,-1.4660082618110868,0.3716741534504424
0.9445698307210036,2,-0.5819697373911927,-1.55785755020604,0.39391807542365465
1.039026813793104,2,-0.6100858377829146,-1.632157869758196,0.4119861941923668
1.1334837968652043,2,-0.6318672807670214,-1.6822608788248505,0.4185263172908078
1.2279407799373048,2,-0.6476659917550478,-1.7075759177412047,0.41224393423110905
1.322397763009405,2,-0.6578338961585275,-1.7116240748370606,0.3959562825200056
1.4168547460815055,2,-0.6627229193889951,-1.7013592065828225,0.3759133678048322
1.5113117291536058,2,-0.662684986857984,-1.6870466075161363,0.36167663380016823
1.605768712225706,2,-0.6580720239770296,-1.6818925371648383,0.36574848921077907
1.7002256952978065,2,-0.6492359561576648,-1.7004010178690998,0.40192910555377015
1.7946826783699068,2,-0.6365287088114244,-1.7549960779233653,0.48193866030051646
1.8891396614420073,2,-0.6203022073498425,-1.8524758868020126,0.6118714721023275
1.9835966445141076,2,-0.6009083771844532,-1.9930510432349444,0.791234288866038
2.078053627586208,2,-0.578699143726791,-2.1723762939890356,1.0149780065354537
2.1725106106583083,2,-0.5540264323883892,-2.384333328192903,1.2762804634161244
