feature,permutation_importance
time_index,1.3429503876559077
mhw_peak_lag12,0.057025533606505203
mhw_peak_lag5,0.012502296638013994
mhw_peak_lag1,0.010511442876812018
mhw_days_lag5,0.007661042585206347
mhw_peak_lag8,0.005428353569417152
mhw_days_lag0,0.005054021662294938
mhw_peak_lag0,0.004182216099656658
mhw_peak_lag2,0.0039100053836514945
mhw_peak_lag6,0.003676662059504303
mhw_peak_lag9,0.003643543792469517
mhw_peak_lag10,0.0035881113086737625
mhw_peak_lag4,0.0030704698910825143
mhw_days_lag9,0.002434307779727427
mhw_peak_lag11,0.0024072590868983823
mhw_peak_lag3,0.002232115957701266
mhw_days_lag7,0.0021165229063115796
month_cos,0.00211045664428925
mhw_peak_lag7,0.001945602390704051
mhw_days_lag1,0.0015754051115769462
mhw_days_lag10,0.0012633404832367333
mhw_days_lag2,0.0011600836396443636
mhw_days_lag8,0.0008835255411487464
month_sin,0.0008227986990876213
mhw_days_lag11,0.0008118861196513982
mhw_days_lag6,0.0007404641026780279
mhw_days_lag4,0.0006610241909189796
mhw_days_lag3,0.000639450552319204
mhw_days_lag12,0.00048248172721316874
