Datetime,pH,Temperature,mhw_lagged
2026-10-01,8.05217467198409,21.09179773128653,2.6742901373958357
2026-11-01,8.08199967198409,18.712212731286527,2.1441014508939413
2026-12-01,8.115330671984088,16.377545731286528,1.611578093903411
2027-01-01,8.128837171984088,14.923539231286528,1.2209732025606241
2027-02-01,8.136309187425983,14.356115407372954,1.0790547369128802
2027-03-01,8.131240408434286,14.761608189965731,1.22626811660992
2027-04-01,8.126837294115438,16.292685574914458,1.6255861168352297
2027-05-01,8.0691714692253,18.75753695430899,2.172117496757579
2027-06-01,8.016814749254596,23.116837567712313,2.720983547168565
2027-07-01,7.957607309831989,27.182547635461333,3.126054412715738
2027-08-01,7.957607309831991,27.182547635461333,3.2791882795340968
2027-09-01,7.957607309831991,27.182547635461336,3.139436862575534
2027-10-01,8.050463343968179,21.164865462573058,2.744330252054929
2027-11-01,8.080288343968178,18.785280462573056,2.200133542621216
2027-12-01,8.113619343968177,16.45061346257306,1.653602162698867
2028-01-01,8.127125843968178,14.996606962573056,1.252742686856399
2028-02-01,8.134597859410073,14.429183138659482,1.1070707827765176
2028-03-01,8.129529080418374,14.83467592125226,1.258037600905695
2028-04-01,8.125125966099526,16.365753306200986,1.6676101856306857
2028-05-01,8.067460141209388,18.830604685595517,2.228149588484854
2028-06-01,8.015103421238686,23.18990529899884,2.7910236618276585
2028-07-01,7.955895981816079,27.25561536674786,3.2063491118745127
2028-08-01,7.955895981816079,27.25561536674786,3.363236417125009
2028-09-01,7.955895981816079,27.255615366747865,3.2197315617343087
2028-10-01,8.048752015952267,21.237933193859586,2.8143703667140048
2028-11-01,8.078577015952268,18.858348193859587,2.256165634348491
2028-12-01,8.111908015952267,16.523681193859588,1.6956262314943231
2029-01-01,8.125414515952267,15.069674693859584,1.2845121711521656
2029-02-01,8.132886531394162,14.502250869946014,1.135086828640155
2029-03-01,8.127817752402462,14.907743652538787,1.2898070852014698
2029-04-01,8.123414638083617,16.438821037487514,1.7096342544261312
2029-05-01,8.065748813193478,18.90367241688205,2.2841816802121286
2029-06-01,8.013392093222775,23.26297303028537,2.861063776486752
2029-07-01,7.9541846538001675,27.32868309803439,3.286643811033267
2029-08-01,7.9541846538001675,27.328683098034393,3.447284554715921
2029-09-01,7.954184653800169,27.328683098034393,3.3000262608930835
2029-10-01,8.047040687936358,21.311000925146114,2.884410481373098
2029-11-01,8.076865687936357,18.931415925146116,2.3121977260757656
2029-12-01,8.110196687936355,16.596748925146116,1.7376503002897792
2030-01-01,8.123703187936355,15.142742425146112,1.3162816554479404
2030-02-01,8.13117520337825,14.575318601232542,1.1631028745037923
2030-03-01,8.126106424386553,14.980811383825316,1.3215765694972446
2030-04-01,8.121703310067705,16.511888768774043,1.7516583232215872
2030-05-01,8.064037485177566,18.976740148168577,2.3402137719394034
2030-06-01,8.011680765206863,23.336040761571898,2.9311038911458454
2030-07-01,7.952473325784256,27.401750829320918,3.3669385101920417
2030-08-01,7.952473325784258,27.40175082932092,3.531332692306833
2030-09-01,7.952473325784258,27.40175082932092,3.380320960051838
2030-10-01,8.045329359920446,21.384068656432643,2.9544505960321916
2030-11-01,8.075154359920445,19.004483656432644,2.3682298178030403
2030-12-01,8.108485359920444,16.669816656432644,1.7796743690852246
2031-01-01,8.121991859920445,15.21581015643264,1.3480511397437154
2031-02-01,8.12946387536234,14.64838633251907,1.1911189203674297
