Datetime,reconstruction_error
2008-03-01,0.6434895285942716
2008-04-01,0.4921725278461498
2008-05-01,0.7458729057636666
2008-06-01,1.6580314324757872
2008-07-01,2.1516947440024463
2008-08-01,0.4618378908131681
2008-09-01,1.1968337786085173
2008-10-01,0.9158223797257338
2008-11-01,0.733630130351073
2008-12-01,0.919533663968405
2009-01-01,0.3493039145172846
2009-02-01,0.4189881462498062
2009-03-01,0.37846392361472175
2009-04-01,0.9353585737867389
2009-05-01,0.9592191590883602
2009-06-01,1.3850575034811694
2009-07-01,1.3734145480316697
2009-08-01,0.8732686821182538
2009-09-01,0.35878494984159587
2009-10-01,0.7280721107856462
2009-11-01,0.7289418772229422
2009-12-01,0.997519844161814
2010-01-01,1.1512330318750488
2010-02-01,1.5568146873520858
2010-03-01,0.5015376415795552
2010-04-01,0.43063446348470774
2010-05-01,1.4712089400404391
2010-06-01,2.7969308927906753
2010-07-01,0.9469749055079052
2010-08-01,0.6096973762455371
2010-09-01,1.3037292931373192
2010-10-01,1.5790785135558223
2010-11-01,1.095949293582067
2010-12-01,0.9335711583467007
2011-01-01,1.292574573347893
2011-02-01,1.8309282984687987
2011-03-01,0.3923871953366224
2011-04-01,0.6904974938654868
2011-05-01,0.8061437190550321
2011-06-01,1.1089665927953543
2011-07-01,0.4907393419546485
2011-08-01,0.21904211577884836
2011-09-01,0.9715919937601304
2011-10-01,0.48812906437645437
2011-11-01,0.5227244382866693
2011-12-01,0.6901595463587873
2012-01-01,0.5104182222340772
2012-02-01,0.288276689873952
2012-03-01,0.7380610700966181
2012-04-01,0.8292729427988289
2012-05-01,0.6514213908805019
2012-06-01,0.7696995770900791
2012-07-01,0.6775028674210365
2012-08-01,0.8579324818124164
2012-09-01,1.4162501080234953
2012-10-01,1.2031801394704125
2012-11-01,0.6110241729842032
2012-12-01,0.4696909016807223
2013-01-01,0.4337235675634783
2013-02-01,0.43532216361035797
2013-03-01,0.9206386615157899
2013-04-01,0.8968252156006925
2013-05-01,1.5384721337990392
2013-06-01,1.0665164674681884
2013-07-01,1.1520184384808132
2013-08-01,0.9244504743523839
2013-09-01,0.4319919341893006
2013-10-01,0.5034078144413885
2013-11-01,0.6259255975193694
2013-12-01,0.8028220210332927
2014-01-01,0.43710449192414796
2014-02-01,0.2236618830425847
2014-03-01,0.0941865748182417
2014-04-01,0.5891043602905085
2014-05-01,0.7105446473362081
2014-06-01,1.3240767308383654
2014-07-01,1.3051705635391948
2014-08-01,0.8536199821329247
2014-09-01,0.9634831621199436
2014-10-01,0.5198922538329244
2014-11-01,0.6959836723712248
2014-12-01,0.6577269906291544
2015-01-01,1.1144265271778329
2015-02-01,1.0944050944329549
2015-03-01,1.9563469511875142
2015-04-01,1.9743410039636213
2015-05-01,1.3148082730433124
2015-06-01,1.7299011581091852
2015-07-01,1.7249608795420037
2015-08-01,0.2850212056773558
2015-09-01,0.44311565958956806
2015-10-01,0.8487689241768931
2015-11-01,0.9843640355712137
2015-12-01,1.0057214507980934
2016-01-01,1.2459757836784822
2016-02-01,1.1774122203706732
2016-03-01,1.1497188098407063
2016-04-01,1.1820498697865884
2016-05-01,1.0544665343196447
2016-06-01,0.7022804172975502
2016-07-01,1.2947103283328463
2016-08-01,1.711328685453745
2016-09-01,2.4001215392088575
2016-10-01,2.202990098996925
2016-11-01,2.7058679104335006
2016-12-01,2.821387828051314
2017-01-01,2.826440814037775
2017-02-01,3.154730559647854
2017-03-01,3.000564415285245
2017-04-01,3.092893927177151
2017-05-01,2.1954435175050135
2017-06-01,2.253509996955734
2017-07-01,1.491153201127471
2017-08-01,1.4081291603802821
2017-09-01,1.5825479127204856
2017-10-01,1.707797030610501
2017-11-01,1.526981659270589
2017-12-01,1.3166795191327019
2018-01-01,1.752684185818189
2018-02-01,2.101271289138872
2018-03-01,2.1755838030191588
2018-04-01,1.3974526832643956
2018-05-01,1.739994854150653
2018-06-01,2.9102471478128864
2018-07-01,2.1639299248211628
2018-08-01,1.5924681820857256
2018-09-01,1.171534228717173
2018-10-01,0.6845530876631645
2018-11-01,1.1192823876525007
2018-12-01,1.0354922302441003
2019-01-01,1.2306442035078007
2019-02-01,2.0804526034627315
2019-03-01,1.1057459831450975
2019-04-01,1.6259062570548708
2019-05-01,1.7827586909518978
2019-06-01,2.0217683485788327
2019-07-01,2.003085441732337
2019-08-01,1.9253391601878649
2019-09-01,1.5601742335404256
2019-10-01,1.210758275674553
2019-11-01,1.6237879841525187
2019-12-01,1.6637188414641033
2020-01-01,1.3327352007239899
2020-02-01,1.2180116420046598
2020-03-01,1.129869309115348
2020-04-01,1.6764776430338604
2020-05-01,1.489112876209663
2020-06-01,1.7246139107165075
2020-07-01,2.034390500534612
2020-08-01,1.4825790327245376
2020-09-01,1.2636257919673877
2020-10-01,1.6608653355853482
2020-11-01,1.762500177020299
2020-12-01,1.6379590935718273
2021-01-01,2.385647113398387
2021-02-01,2.7748478985439875
2021-03-01,1.4323859468731084
2021-04-01,1.23776006901842
2021-05-01,1.290784000903145
2021-06-01,1.0487520329907472
2021-08-01,0.4758459805709533
2021-09-01,0.4487881557768881
2021-10-01,0.7689847384731409
2021-11-01,0.49830589306542933
2021-12-01,0.5972176626704182
2022-01-01,0.5938116725726407
2022-02-01,0.6958071201661917
2022-03-01,1.136011148683556
2022-04-01,0.8163593056519416
2022-05-01,1.2775962699637253
2022-06-01,1.0521035925388815
2022-07-01,1.2796989880449205
2022-08-01,1.0746728458929133
2022-09-01,0.6383702808339748
2022-10-01,0.7422861865650663
2022-11-01,0.7291094601836539
2022-12-01,0.9309914129903547
2023-01-01,1.1261671086708103
2023-02-01,0.9955039238587314
2023-03-01,1.220828184383772
2023-04-01,1.0224936913257148
2023-05-01,1.0346658710752397
2023-06-01,1.7211891270766684
2023-07-01,1.5426170532147547
2023-08-01,1.1538079775756345
2023-09-01,0.8889088561557
2023-10-01,0.6239472744060763
2023-11-01,0.8022334559613448
2023-12-01,0.7551376985996137
2024-01-01,0.6054531619661212
2024-02-01,0.8024550509774477
2024-03-01,1.1615796337531108
2024-04-01,0.9428806334869585
2024-05-01,1.3279964891488312
2024-06-01,0.8023332722464978
2024-07-01,0.9649319553002131
2024-08-01,0.9285540804354181
2024-09-01,0.24902875861545262
2024-10-01,0.7772524580845139
2024-11-01,0.788213010932859
2024-12-01,0.5249178703311843
2025-01-01,0.1088290969155239
2025-02-01,1.217596476420558
2025-03-01,0.2778861640024575
2025-04-01,0.5636293249202263
2025-05-01,0.991172402367867
2025-06-01,1.0324840459500368
2025-07-01,0.7449344271542019
2025-08-01,0.9016310917562073
2025-09-01,1.1769379436658252
2025-10-01,1.3112800184894495
2025-11-01,0.9968038324744892
2025-12-01,1.301761221370205
2026-01-01,0.5934007509233601
2026-02-01,1.0292962715558522
2026-03-01,0.7734562633308576
2026-04-01,0.9292331420511666
2026-05-01,0.8852602644635111
2026-06-01,1.4983381741206228
2026-07-01,0.9090711706388933
