,O2,CO2,Temperature,Salinity,pH,EC50,mhw_peak_intensity,mhw_days
O2,1.0,-0.8363870967741934,-0.6888308418568055,0.23013690007867818,0.8702690794649881,0.6379606608969315,-0.31984102344092624,-0.29276565299348006
CO2,-0.8363870967741934,1.0,0.8293564122738002,-0.22790873328088118,-0.9879905586152635,-0.7666719118804091,0.3274405682054345,0.29469553720399927
Temperature,-0.6888308418568055,0.8293564122738002,1.0,-0.048251770259638074,-0.8389929189614476,-0.5880346184107001,0.21586686942676078,0.22358453279668983
Salinity,0.23013690007867818,-0.22790873328088118,-0.048251770259638074,1.0,0.25141148701809596,0.4948355625491738,0.07031631984517138,-0.006204783717892689
pH,0.8702690794649881,-0.9879905586152635,-0.8389929189614476,0.25141148701809596,1.0,0.7725381589299763,-0.30831536307280877,-0.2759575974062978
EC50,0.6379606608969315,-0.7666719118804091,-0.5880346184107001,0.4948355625491738,0.7725381589299763,1.0,-0.21940132104416918,-0.24299745672713446
mhw_peak_intensity,-0.31984102344092624,0.3274405682054345,0.21586686942676078,0.07031631984517138,-0.30831536307280877,-0.21940132104416918,1.0,0.821592055044818
mhw_days,-0.29276565299348006,0.29469553720399927,0.22358453279668983,-0.006204783717892689,-0.2759575974062978,-0.24299745672713446,0.821592055044818,1.0
