Datetime,trend
2016-01-01,239.7641558838383
2016-02-01,239.72363381944436
2016-03-01,239.68311175505042
2016-04-01,239.64258969065648
2016-05-01,239.60206762626257
2016-06-01,239.56154556186863
2016-07-01,239.5210234974747
2016-08-01,239.48050143308075
2016-09-01,239.4399793686868
2016-10-01,239.39945730429287
2016-11-01,239.35893523989895
2016-12-01,239.31841317550501
2017-01-01,238.51029666666665
2017-02-01,238.84160833333328
2017-03-01,239.1199775
2017-04-01,239.37013041666665
2017-05-01,239.76351666666662
2017-06-01,240.2866425
2017-07-01,239.98442166666663
2017-08-01,238.84549333333328
2017-09-01,238.06937583333328
2017-10-01,238.09041499999995
2017-11-01,238.5982608333333
2017-12-01,239.18009833333332
2018-01-01,239.51578791666665
2018-02-01,239.50956374999998
2018-03-01,239.35114791666663
2018-04-01,239.27810208333332
2018-05-01,239.03588958333333
2018-06-01,239.37411749999998
2018-07-01,240.56076791666666
2018-08-01,241.46435666666662
2018-09-01,241.95691374999996
2018-10-01,241.93852041666662
2018-11-01,241.3495608333333
2018-12-01,240.5823120833333
2019-01-01,239.85813666666667
2019-02-01,239.47097083333333
2019-03-01,239.4303308333333
2019-04-01,239.41453875000002
2019-05-01,239.21347541666665
2019-06-01,238.2931470833333
2019-07-01,237.14051958333332
2019-08-01,236.51653583333334
2019-09-01,236.21188291666664
2019-10-01,236.14930291666667
2019-11-01,236.20415791666665
2019-12-01,236.36684666666667
2020-01-01,236.57186875
2020-02-01,236.5786625
2020-03-01,236.41745458333335
2020-04-01,236.21156666666667
2020-05-01,235.91738791666663
2020-06-01,235.26771166666663
2020-07-01,235.00031625
2020-08-01,235.37825124999995
2020-09-01,235.3516441666667
2020-10-01,235.08041624999998
2020-11-01,235.1824708333333
2020-12-01,235.35207666666662
2021-01-01,235.4599429166666
2021-02-01,235.62181999999999
2021-03-01,235.60128999999998
2021-04-01,235.42359999999996
2021-05-01,235.44741125
2021-06-01,235.65786166666666
2021-07-01,235.32983833333336
2021-08-01,234.52191791666664
2021-09-01,233.99198791666666
2021-10-01,233.75323375
2021-11-01,233.66460083333334
2021-12-01,233.63581708333334
2022-01-01,233.47897541666669
2022-02-01,233.24829000000003
2022-03-01,233.22294083333333
2022-04-01,233.41348416666668
2022-05-01,233.52777083333328
2022-06-01,233.32081374999996
2022-07-01,233.18624041666664
2022-08-01,233.59472458333332
2022-09-01,233.8350383333333
