Datetime,trend
2016-01-01,46.57226011387018
2016-02-01,45.85143944187242
2016-03-01,45.13061876987467
2016-04-01,44.409798097876916
2016-05-01,43.68897742587916
2016-06-01,42.9681567538814
2016-07-01,42.24733608188365
2016-08-01,41.526515409885896
2016-09-01,40.80569473788814
2016-10-01,40.08487406589039
2016-11-01,39.36405339389263
2016-12-01,38.643232721894876
2017-01-01,38.64618680555555
2017-02-01,37.5637675925926
2017-03-01,36.49771666666666
2017-04-01,35.51867268518519
2017-05-01,34.64288541666667
2017-06-01,33.83116041666666
2017-07-01,33.11766458333333
2017-08-01,32.497655092592595
2017-09-01,31.955618055555554
2017-10-01,31.47116435185185
2017-11-01,31.048798611111103
2017-12-01,30.703489969135795
2018-01-01,30.422344907407403
2018-02-01,30.167713734567897
2018-03-01,29.91308256172839
2018-04-01,29.64697685185185
2018-05-01,29.382838734567898
2018-06-01,29.12400154320987
2018-07-01,28.85115509259259
2018-08-01,28.580389660493825
2018-09-01,28.29960108024691
2018-10-01,28.025238425925924
2018-11-01,27.778005401234566
2018-12-01,27.53589660493827
2019-01-01,27.303723958333332
2019-02-01,27.07909471450617
2019-03-01,26.85446547067901
2019-04-01,26.63158680555555
2019-05-01,26.406532214506164
2019-06-01,26.186983989197525
2019-07-01,25.978179398148146
2019-08-01,25.776201774691366
2019-09-01,25.65319637345679
2019-10-01,25.596332175925927
2019-11-01,25.539375385802465
2019-12-01,25.485341435185187
2020-01-01,25.42467997685185
2020-02-01,25.361690393518515
2020-03-01,25.29870081018518
2020-04-01,25.234143518518515
2020-05-01,25.16129456018518
2020-06-01,25.066934143518516
2020-07-01,24.966081018518516
2020-08-01,24.878923148148143
2020-09-01,24.74144583333333
2020-10-01,24.56381805555555
2020-11-01,24.40446944444444
2020-12-01,24.273842129629628
2021-01-01,24.18813321759259
2021-02-01,24.12133113425926
2021-03-01,24.054529050925925
2021-04-01,24.00830360449735
2021-05-01,24.079360152116397
2021-06-01,24.310222056878303
2021-07-01,24.63618356481481
2021-08-01,24.97800578703703
2021-09-01,25.388470370370367
2021-10-01,25.778154398148146
2021-11-01,26.073089481481478
2021-12-01,26.383176289351855
2022-01-01,26.68750763194445
2022-02-01,26.981744645833338
2022-03-01,27.275981659722227
2022-04-01,27.560871203373026
2022-05-01,27.652065130291017
2022-06-01,27.470875332010593
2022-07-01,27.175808685185196
2022-08-01,26.86012299074075
2022-09-01,26.484732435185194
