Datetime,trend
2016-01-01,8.08990781325757
2016-02-01,8.08956307916666
2016-03-01,8.089218345075752
2016-04-01,8.088873610984843
2016-05-01,8.088528876893935
2016-06-01,8.088184142803026
2016-07-01,8.087839408712117
2016-08-01,8.087494674621208
2016-09-01,8.0871499405303
2016-10-01,8.08680520643939
2016-11-01,8.086460472348481
2016-12-01,8.086115738257574
2017-01-01,8.085701
2017-02-01,8.085639375
2017-03-01,8.085380166666665
2017-04-01,8.085047208333332
2017-05-01,8.085029770833334
2017-06-01,8.084482375
2017-07-01,8.083300666666664
2017-08-01,8.0818664
2017-09-01,8.0813186125
2017-10-01,8.082120091666667
2017-11-01,8.082873258333334
2017-12-01,8.083740675
2018-01-01,8.084168758333332
2018-02-01,8.084464966666665
2018-03-01,8.08515555
2018-04-01,8.085657258333333
2018-05-01,8.084921633333334
2018-06-01,8.085476591666668
2018-07-01,8.087559841666666
2018-08-01,8.087933441666666
2018-09-01,8.087119958333332
2018-10-01,8.086052541666666
2018-11-01,8.084783958333333
2018-12-01,8.083409791666666
2019-01-01,8.082648541666666
2019-02-01,8.082399958333333
2019-03-01,8.082168249999999
2019-04-01,8.082169708333334
2019-05-01,8.082605958333334
2019-06-01,8.080714583333332
2019-07-01,8.077230958333333
2019-08-01,8.076155945833333
2019-09-01,8.076341558333333
2019-10-01,8.075973016666666
2019-11-01,8.075628474999998
2019-12-01,8.075287474999998
2020-01-01,8.074139266666666
2020-02-01,8.072099475
2020-03-01,8.069929808333333
2020-04-01,8.068192849999999
2020-05-01,8.065626224999999
2020-06-01,8.062577141666665
2020-07-01,8.061297224999999
2020-08-01,8.060548516666666
2020-09-01,8.059095683333332
2020-10-01,8.058748183333332
2020-11-01,8.059164308333331
2020-12-01,8.059484766666666
2021-01-01,8.060120933333334
2021-02-01,8.060805016666666
2021-03-01,8.061249308333332
2021-04-01,8.061468016666666
2021-05-01,8.062625266666668
2021-06-01,8.0635415375
2021-07-01,8.063339058333334
2021-08-01,8.063530225
2021-09-01,8.064172558333333
2021-10-01,8.064531225
2021-11-01,8.064669933333333
2021-12-01,8.064600266666668
2022-01-01,8.064258058333333
2022-02-01,8.064313308333334
2022-03-01,8.064946016666667
2022-04-01,8.065775516666667
2022-05-01,8.065095475
2022-06-01,8.063113454166666
2022-07-01,8.061233166666666
2022-08-01,8.0602552625
2022-09-01,8.059892566666667
