,Datetime,O2,CO2,EC50,Temperature,Salinity,pH
0,2023-01-01,237.61553443037974,40.895384924050646,40.416074069640544,18.80502952742616,37.96881296624473,8.08430730042194
1,2023-02-01,237.61553443037974,40.895384924050646,40.416074069640544,18.81461089514675,37.97162876815554,8.083088237424487
2,2023-03-01,237.61553443037974,40.895384924050646,40.416074069640544,18.82419226286734,37.97444457006636,8.081869174427034
3,2023-04-01,237.61553443037974,40.895384924050646,40.416074069640544,18.83377363058793,37.977260371977174,8.08065011142958
4,2023-05-01,237.61553443037974,40.895384924050646,40.416074069640544,18.84335499830852,37.980076173887994,8.079431048432127
5,2023-06-01,237.61553443037974,40.895384924050646,40.416074069640544,18.85293636602911,37.98289197579881,8.078211985434674
6,2023-07-01,237.61553443037974,40.895384924050646,40.416074069640544,18.862517733749698,37.98570777770962,8.076992922437219
7,2023-08-01,237.61553443037974,40.895384924050646,40.416074069640544,18.872099101470287,37.98852357962044,8.075773859439765
8,2023-09-01,237.61553443037974,40.895384924050646,40.416074069640544,18.88168046919088,37.991339381531255,8.074554796442312
9,2023-10-01,237.61553443037974,40.895384924050646,40.416074069640544,18.891261836911468,37.994155183442075,8.073335733444859
10,2023-11-01,237.61553443037974,40.895384924050646,40.416074069640544,18.900843204632057,37.99697098535289,8.072116670447405
11,2023-12-01,237.61553443037974,40.895384924050646,40.416074069640544,18.910424572352646,37.9997867872637,8.070897607449952
12,2024-01-01,237.61553443037974,40.895384924050646,40.416074069640544,18.920005940073235,38.00260258917452,8.069678544452499
13,2024-02-01,237.61553443037974,40.895384924050646,40.416074069640544,18.929587307793824,38.005418391085335,8.068459481455045
14,2024-03-01,237.61553443037974,40.895384924050646,40.416074069640544,18.939168675514416,38.008234192996156,8.067240418457592
15,2024-04-01,237.61553443037974,40.895384924050646,40.416074069640544,18.948750043235005,38.01104999490697,8.066021355460139
16,2024-05-01,237.61553443037974,40.895384924050646,40.416074069640544,18.958331410955594,38.01386579681778,8.064802292462685
17,2024-06-01,237.61553443037974,40.895384924050646,40.416074069640544,18.967912778676183,38.0166815987286,8.063583229465232
18,2024-07-01,237.61553443037974,40.895384924050646,40.416074069640544,18.977494146396772,38.019497400639416,8.062364166467777
19,2024-08-01,237.61553443037974,40.895384924050646,40.416074069640544,18.987075514117365,38.02231320255024,8.061145103470324
20,2024-09-01,237.61553443037974,40.895384924050646,40.416074069640544,18.996656881837954,38.02512900446105,8.05992604047287
21,2024-10-01,237.61553443037974,40.895384924050646,40.416074069640544,19.006238249558542,38.02794480637186,8.058706977475417
22,2024-11-01,237.61553443037974,40.895384924050646,40.416074069640544,19.01581961727913,38.030760608282684,8.057487914477964
23,2024-12-01,237.61553443037974,40.895384924050646,40.416074069640544,19.02540098499972,38.0335764101935,8.05626885148051
24,2025-01-01,237.61553443037974,40.895384924050646,40.416074069640544,19.034982352720313,38.03639221210432,8.055049788483057
25,2025-02-01,237.61553443037974,40.895384924050646,40.416074069640544,19.0445637204409,38.03920801401513,8.053830725485604
26,2025-03-01,237.61553443037974,40.895384924050646,40.416074069640544,19.05414508816149,38.042023815925944,8.05261166248815
27,2025-04-01,237.61553443037974,40.895384924050646,40.416074069640544,19.06372645588208,38.044839617836764,8.051392599490697
28,2025-05-01,237.61553443037974,40.895384924050646,40.416074069640544,19.07330782360267,38.04765541974758,8.050173536493244
29,2025-06-01,237.61553443037974,40.895384924050646,40.416074069640544,19.08288919132326,38.0504712216584,8.04895447349579
30,2025-07-01,237.61553443037974,40.895384924050646,40.416074069640544,19.09247055904385,38.05328702356921,8.047735410498335
31,2025-08-01,237.61553443037974,40.895384924050646,40.416074069640544,19.10205192676444,38.056102825480025,8.046516347500882
32,2025-09-01,237.61553443037974,40.895384924050646,40.416074069640544,19.111633294485028,38.058918627390845,8.045297284503429
33,2025-10-01,237.61553443037974,40.895384924050646,40.416074069640544,19.121214662205617,38.06173442930166,8.044078221505975
34,2025-11-01,237.61553443037974,40.895384924050646,40.416074069640544,19.130796029926206,38.06455023121248,8.042859158508522
35,2025-12-01,237.61553443037974,40.895384924050646,40.416074069640544,19.140377397646798,38.06736603312329,8.041640095511069
36,2026-01-01,237.61553443037974,40.895384924050646,40.416074069640544,19.149958765367387,38.070181835034106,8.040421032513615
37,2026-02-01,237.61553443037974,40.895384924050646,40.416074069640544,19.159540133087976,38.072997636944926,8.039201969516162
38,2026-03-01,237.61553443037974,40.895384924050646,40.416074069640544,19.169121500808565,38.07581343885574,8.037982906518709
39,2026-04-01,237.61553443037974,40.895384924050646,40.416074069640544,19.178702868529154,38.07862924076656,8.036763843521255
40,2026-05-01,237.61553443037974,40.895384924050646,40.416074069640544,19.188284236249746,38.08144504267737,8.035544780523802
41,2026-06-01,237.61553443037974,40.895384924050646,40.416074069640544,19.197865603970335,38.08426084458819,8.034325717526348
42,2026-07-01,237.61553443037974,40.895384924050646,40.416074069640544,19.207446971690924,38.08707664649901,8.033106654528893
43,2026-08-01,237.61553443037974,40.895384924050646,40.416074069640544,19.217028339411513,38.08989244840982,8.03188759153144
44,2026-09-01,237.61553443037974,40.895384924050646,40.416074069640544,19.226609707132102,38.09270825032064,8.030668528533987
45,2026-10-01,237.61553443037974,40.895384924050646,40.416074069640544,19.236191074852695,38.095524052231454,8.029449465536533
46,2026-11-01,237.61553443037974,40.895384924050646,40.416074069640544,19.245772442573283,38.09833985414227,8.02823040253908
47,2026-12-01,237.61553443037974,40.895384924050646,40.416074069640544,19.255353810293872,38.10115565605309,8.027011339541627
