Datetime,trend
2016-01-01,37.84746779742616
2016-02-01,37.86543503408117
2016-03-01,37.883402270736184
2016-04-01,37.9013695073912
2016-05-01,37.91933674404621
2016-06-01,37.93730398070122
2016-07-01,37.955271217356234
2016-08-01,37.97323845401125
2016-09-01,37.99120569066626
2016-10-01,38.00917292732127
2016-11-01,38.027140163976284
2016-12-01,38.0451074006313
2017-01-01,38.06912553333333
2017-02-01,38.078474899999996
2017-03-01,38.09298109166666
2017-04-01,38.10821604166666
2017-05-01,38.122924016666666
2017-06-01,38.14815376666667
2017-07-01,38.18059985
2017-08-01,38.2073084
2017-09-01,38.225707075
2017-10-01,38.23579940833333
2017-11-01,38.23768649166666
2017-12-01,38.23575669166666
2018-01-01,38.23748903333333
2018-02-01,38.236282483333326
2018-03-01,38.228229766666665
2018-04-01,38.216981075
2018-05-01,38.20308305
2018-06-01,38.173934458333335
2018-07-01,38.13537254166667
2018-08-01,38.10740490833333
2018-09-01,38.094539833333336
2018-10-01,38.093766925000004
2018-11-01,38.09336114166667
2018-12-01,38.0867849
2019-01-01,38.07498989166667
2019-02-01,38.06305634166667
2019-03-01,38.05455836666667
2019-04-01,38.04600744166667
2019-05-01,38.037817116666666
2019-06-01,38.04528904166666
2019-07-01,38.056214974999996
2019-08-01,38.04720496666666
2019-09-01,38.028806749999994
2019-10-01,38.012614166666665
2019-11-01,37.99758258333334
2019-12-01,37.98126945
2020-01-01,37.971534258333335
2020-02-01,37.97394667499999
2020-03-01,37.982389091666676
2020-04-01,37.99707235
2020-05-01,38.01490695833334
2020-06-01,38.019639633333334
2020-07-01,38.01697561666666
2020-08-01,38.021854966666666
2020-09-01,38.02695075833333
2020-10-01,38.02157824166667
2020-11-01,38.014924416666666
2020-12-01,38.01706323333333
2021-01-01,38.014403249999994
2021-02-01,38.00784329166667
2021-03-01,38.00758025
2021-04-01,38.00763633333334
2021-05-01,38.00517095833334
2021-06-01,38.01409304166667
2021-07-01,38.02987658333333
2021-08-01,38.04703533333333
2021-09-01,38.06399975000001
2021-10-01,38.08097995833333
2021-11-01,38.10382225
2021-12-01,38.121106875
2022-01-01,38.13423583333333
2022-02-01,38.14353095833333
2022-03-01,38.144955
2022-04-01,38.142769916666666
2022-05-01,38.14601208333334
2022-06-01,38.15423725
2022-07-01,38.161764291666664
2022-08-01,38.16309416666666
2022-09-01,38.162338125
