Datetime,trend
2016-01-01,17.97152033173076
2016-02-01,18.025555153846142
2016-03-01,18.07958997596153
2016-04-01,18.133624798076912
2016-05-01,18.1876596201923
2016-06-01,18.241694442307683
2016-07-01,18.29572926442307
2016-08-01,18.349764086538453
2016-09-01,18.40379890865384
2016-10-01,18.457833730769224
2016-11-01,18.511868552884607
2016-12-01,18.565903374999994
2017-01-01,18.691444333333333
2017-02-01,18.660755541666664
2017-03-01,18.666806958333332
2017-04-01,18.694991041666665
2017-05-01,18.72807020833333
2017-06-01,18.863068708333337
2017-07-01,19.015045583333333
2017-08-01,19.142534416666663
2017-09-01,19.214571166666666
2017-10-01,19.173194249999998
2017-11-01,19.118576541666666
2017-12-01,19.036497874999995
2018-01-01,18.978237083333333
2018-02-01,18.944206708333333
2018-03-01,18.876715437499996
2018-04-01,18.821950124999997
2018-05-01,18.83912845833333
2018-06-01,18.797664874999995
2018-07-01,18.745374416666667
2018-08-01,18.79771691666667
2018-09-01,18.895896791666665
2018-10-01,18.99767075
2018-11-01,19.08847275
2018-12-01,19.204566874999998
2019-01-01,19.306539750000002
2019-02-01,19.378929000000003
2019-03-01,19.43742152083333
2019-04-01,19.436821875
2019-05-01,19.317971416666666
2019-06-01,19.2128985
2019-07-01,19.238153000000004
2019-08-01,19.271088791666664
2019-09-01,19.232852833333332
2019-10-01,19.2042235
2019-11-01,19.202654416666668
2019-12-01,19.197761875
2020-01-01,19.20914916666667
2020-02-01,19.243986125
2020-03-01,19.277606499999997
2020-04-01,19.290846749999996
2020-05-01,19.3611465
2020-06-01,19.423603041666667
2020-07-01,19.316329791666668
2020-08-01,19.174951791666665
2020-09-01,19.154499458333333
2020-10-01,19.117407458333332
2020-11-01,19.027034375
2020-12-01,18.95200704166667
2021-01-01,18.883054874999996
2021-02-01,18.836469833333332
2021-03-01,18.824613625
2021-04-01,18.827286083333338
2021-05-01,18.766218416666668
2021-06-01,18.72890275
2021-07-01,18.766239749999997
2021-08-01,18.776279916666667
2021-09-01,18.749558625
2021-10-01,18.744705833333335
2021-11-01,18.754307208333334
2021-12-01,18.766655083333333
2022-01-01,18.80077225
2022-02-01,18.816900791666665
2022-03-01,18.793204958333334
2022-04-01,18.748537125
2022-05-01,18.802360666666665
2022-06-01,18.96154608333333
2022-07-01,19.138235499999997
2022-08-01,19.239758333333334
2022-09-01,19.291278916666663
